# Beijing 2008 Olympics — Athletics (Track & Road) Gold Medal Winners (Selected Events)

| Sport | Discipline | Event | Gender | Gold medalist(s) | Nation | Result/Mark | Venue (Beijing 2008) |
|---|---|---|---|---|---|---|---|
| Athletics | Sprint | 100 m | Men | Usain Bolt | Jamaica | 9.69 | Beijing National Stadium |
| Athletics | Sprint | 200 m | Men | Usain Bolt | Jamaica | 19.30 | Beijing National Stadium |
| Athletics | Sprint | 400 m | Men | LaShawn Merritt | United States | 43.75 | Beijing National Stadium |
| Athletics | Sprint Hurdles | 110 m hurdles | Men | Dayron Robles | Cuba | 12.93 | Beijing National Stadium |
| Athletics | Middle Distance | 800 m | Men | Wilfred Bungei | Kenya | 1:44.65 | Beijing National Stadium |
| Athletics | Distance | 5,000 m | Men | Kenenisa Bekele | Ethiopia | 12:57.82 | Beijing National Stadium |
| Athletics | Marathon | Marathon | Men | Sammy Wanjiru | Kenya | 2:06:32 | Beijing (city course) |
| Athletics | Race Walk | 20 km walk | Men | Valeriy Borchin | Russia | 1:19:01 | Beijing (road course) |
| Athletics | Relay | 4×100 m relay | Men | Jamaica (Carter, Frater, Bolt, Powell) | Jamaica | 37.10 | Beijing National Stadium |
| Athletics | Sprint | 100 m | Women | Shelly-Ann Fraser | Jamaica | 10.78 | Beijing National Stadium |
