# Endocrine Hormones  Primary Production Sites and Release Triggers (Human)

| Hormone | Main gland/tissue of production | Cell type | Primary trigger for release | Circulating form | Notes |
| --- | --- | --- | --- | --- | --- |
| Insulin | Pancreas | β cells (islets) | ↑ blood glucose; incretins | Free peptide | Co-secreted with C-peptide |
| Glucagon | Pancreas | α cells (islets) | ↓ blood glucose; amino acids | Free peptide | Often counter-regulatory to insulin |
| Cortisol | Adrenal cortex | Zona fasciculata | ACTH (pituitary) | Mostly bound (CBG) | Follows circadian rhythm |
| Aldosterone | Adrenal cortex | Zona glomerulosa | Angiotensin II; ↑ K+ | Partly bound | RAAS-regulated |
| Thyroxine (T4) / Triiodothyronine (T3) | Thyroid gland | Follicular cells | TSH (pituitary) | Strongly protein-bound | Iodinated amines |
| Parathyroid hormone (PTH) | Parathyroid glands | Chief cells | ↓ ionized Ca2+ | Free peptide | CaSR-mediated sensing |
| Erythropoietin (EPO) | Kidney | Peritubular fibroblast-like cells | Hypoxia (HIF pathway) | Glycoprotein | Also produced in fetal liver |
| Melatonin | Pineal gland | Pinealocytes | Darkness (SCN input) | Free/albumin-bound | Light suppresses secretion |
| Growth hormone (GH) | Anterior pituitary | Somatotrophs | GHRH; sleep; ghrelin | Free peptide | Inhibited by somatostatin |
