# Used Smartphone Pricing, Carrier Lock Status, and Seller Policies (Refurbished Marketplace Comparison)

| Model | Typical used price (USD) | Condition tiers | Carrier lock status | Warranty/return policy | Seller rating requirement | Included accessories | Financing/trade-in | Region availability |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| iPhone 11 | 180–260 | Fair/Good/Excellent | Unlocked / Verizon / AT&T | 30-day returns, 90-day warranty | 4.5+ stars | Cable only | Yes | US/EU |
| Samsung Galaxy S10 | 120–190 | Fair/Good/Excellent | Unlocked / T-Mobile | 14-day returns, 90-day warranty | 4.3+ stars | Charger + cable | No | US |
| Google Pixel 5 | 140–220 | Good/Excellent | Mostly Unlocked | 30-day returns, 1-year refurb warranty | 4.6+ stars | Cable | Yes | US/UK |
| OnePlus 8 | 130–210 | Good/Excellent | Unlocked | 14-day returns, 90-day warranty | 4.2+ stars | Charger + cable | No | US/IN |
| iPhone SE (2020) | 110–170 | Fair/Good/Excellent | Unlocked / Sprint | 30-day returns, 90-day warranty | 4.5+ stars | Cable only | Yes | US/EU |
| Samsung Galaxy A52 | 140–230 | Good/Excellent | Unlocked | 30-day returns, 180-day warranty | 4.4+ stars | Charger varies | No | EU/LatAm |
| Xiaomi Redmi Note 10 | 90–150 | Good/Excellent | Unlocked | 7-day returns, no warranty | 4.0+ stars | Charger + case | No | EU/Asia |
| Nokia 7.2 | 70–120 | Fair/Good | Unlocked | 14-day returns, 90-day warranty | 4.1+ stars | Cable | No | EU |
| Motorola Moto G Power (2021) | 80–130 | Fair/Good/Excellent | Unlocked / TracFone | 30-day returns, 90-day warranty | 4.2+ stars | Charger varies | Yes | US |
