# Broadway Musicals  Directors and Original Cast Highlights (Selected Productions)

| Show (Broadway) | Opening Year | Director(s) | Notable Cast (Broadway) | Tony Acting Winner(s) |
|---|---:|---|---|---|
| Hamilton | 2015 | Thomas Kail | Lin-Manuel Miranda; Leslie Odom Jr.; Phillipa Soo | Leslie Odom Jr. |
| Wicked | 2003 | Joe Mantello | Idina Menzel; Kristin Chenoweth | Idina Menzel |
| The Lion King | 1997 | Julie Taymor | Heather Headley; Jason Raize | Heather Headley |
| The Book of Mormon | 2011 | Casey Nicholaw; Trey Parker | Andrew Rannells; Josh Gad | null |
| Dear Evan Hansen | 2016 | Michael Greif | Ben Platt; Laura Dreyfuss | Ben Platt |
| Chicago (Revival) | 1996 | Walter Bobbie | Bebe Neuwirth; Ann Reinking | Bebe Neuwirth |
| Hadestown | 2019 | Rachel Chavkin | Reeve Carney; Eva Noblezada; André De Shields | André De Shields |
| Cabaret (1998 revival) | 1998 | Sam Mendes | Alan Cumming; Natasha Richardson | Alan Cumming |
| Rent | 1996 | Michael Greif | Adam Pascal; Anthony Rapp; Daphne Rubin-Vega | null |
