# Dividend-Yielding Cyclical Chemicals Stocks for Rebounding Growth

| Stock name | OLIN | LYONDELLBASELL INDUSTRIES | CABOT | RPM INTERNATIONAL |
| --- | --- | --- | --- | --- |
|  |  |  |  |  |
|  |  |  |  |  |
|  |  |  |  |  |
|  |  |  |  |  |
| ISIN | US6806652052 | NL0009434992 | US1270551013 | US7496851038 |
| Last trade | 22.99 | 93.83 | 35.18 | 46.87 |
|  |  |  |  |  |
| P/E | 20.8 | 10.1 | 15.3 | 26.7 |
| EPS | 1.1 | 9.3 | 231.0 | 1.8 |
| Dividend/Share | 0.80 | 2.96 | 0.88 | 1.04 |
| Ex-Date | May 07 2015 | May 28 2015 | May 27 2015 | Jul 09 2015 |
| Payout Ratio | 71 | 34 | 38 | 1 |
| Dividend yield | 3.48 | 3.15 | 2.50 | 2.22 |
