# Areas of Irish Counties (Republic of Ireland) by Province

| County | Province | Area (km²) | Area (sq mi) | Population (2022 est.) | County town |
|---|---|---:|---:|---:|---|
| Cork | Munster | 7,468 | 2,884 | 584,000 | Cork |
| Kerry | Munster | 4,807 | 1,856 | 156,000 | Tralee |
| Galway | Connacht | 6,149 | 2,374 | 276,000 | Galway |
| Donegal | Ulster | 4,861 | 1,877 | 166,000 | Lifford |
| Mayo | Connacht | 5,539 | 2,138 | 137,000 | Castlebar |
| Clare | Munster | 3,452 | 1,333 | 128,000 | Ennis |
| Tipperary | Munster | 4,304 | 1,662 | 167,000 | Nenagh |
| Wexford | Leinster | 2,352 | 908 | 164,000 | Wexford |
| Louth | Leinster | 821 | 317 | 139,000 | Dundalk |
| Waterford | Munster | 1,838 | 710 | 127,000 | Waterford |
