# Endocrine-Related Medications and Their Physiologic Targets

| Drug (Generic) | Drug Class | Hormone Axis/Target | Primary Clinical Use | Main Action (Mechanism) |
|---|---|---|---|---|
| Levothyroxine | Thyroid hormone replacement | Thyroid hormone receptor | Hypothyroidism | Replaces T4 to normalize metabolic rate |
| Methimazole | Antithyroid (thioamide) | Thyroid peroxidase | Hyperthyroidism | Inhibits thyroid hormone synthesis |
| Desmopressin (DDAVP) | Vasopressin analog | V2 receptor in kidney | Central diabetes insipidus | Increases water reabsorption in collecting ducts |
| Octreotide | Somatostatin analog | Pituitary/GI endocrine secretion | Acromegaly, variceal bleeding | Suppresses GH release; reduces splanchnic flow |
| Clomiphene | SERM | Estrogen receptor (hypothalamus) | Ovulation induction | Blocks estrogen feedback → increases GnRH/LH/FSH |
| Letrozole | Aromatase inhibitor | Estrogen synthesis | Breast cancer; ovulation induction | Lowers estrogen by inhibiting aromatase |
| Spironolactone | Mineralocorticoid antagonist | Aldosterone receptor | Heart failure; hyperaldosteronism | Blocks aldosterone effects → natriuresis |
| Insulin glargine | Long-acting insulin | Insulin receptor | Diabetes mellitus | Increases peripheral glucose uptake; lowers blood glucose |
| Hydrocortisone | Glucocorticoid | Glucocorticoid receptor | Adrenal insufficiency; inflammation | Mimics cortisol to suppress inflammation and support BP |
| Cabergoline | Dopamine agonist | Pituitary lactotrophs | Hyperprolactinemia | Decreases prolactin secretion |
| Leuprolide | GnRH agonist | Pituitary GnRH receptor | Prostate cancer; endometriosis | Continuous use downregulates LH/FSH |
| Mifepristone | Progesterone receptor antagonist | Progesterone receptor | Medication abortion; Cushing syndrome | Blocks progesterone signaling / glucocorticoid receptor |
