# Irish County Area by Major Towns (Sub-county breakdown)

| County | Town/Locality | Area (km²) | Province | Notes |
|---|---|---:|---|---|
| Cork | Cork City | 40.0 | Munster | City administrative area |
| Cork | Mallow | 8.5 | Munster | Town boundary |
| Galway | Galway City | 50.2 | Connacht | City boundary |
| Galway | Tuam | 7.1 | Connacht | Town boundary |
| Donegal | Letterkenny | 13.9 | Ulster | Settlement area |
| Donegal | Buncrana | 7.7 | Ulster | Town boundary |
| Kerry | Tralee | 15.6 | Munster | Town boundary |
| Kerry | Killarney | 37.3 | Munster | Includes national park-environs |
| Dublin | Swords | 11.5 | Leinster | Urban area |
| Dublin | Tallaght | 16.4 | Leinster | Urban area |
