# Academy Awards Hosting Reference  Hosts and Ceremony Counts (Multi-Host Years Not Expanded)

| Host | Role Type | Number of Ceremonies Hosted | Example Ceremony No(s). (Reference Only) | Notes |
|---|---|---:|---|---|
| Bob Hope | Solo/lead host | 19 | 1st–? (multiple) | Longest-running Oscars host |
| Billy Crystal | Solo/lead host | 9 | 62nd, 63rd, 64th, 65th, 66th, 72nd, 84th, 86th, 88th | Includes returns across decades |
| Johnny Carson | Solo/lead host | 5 | 46th–50th (selected) | Primarily in the 1970s |
| Whoopi Goldberg | Solo/lead host | 4 | 64th, 66th, 68th, 71st | Hosted across the 1990s/early 2000s |
| Jack Lemmon | Co-host | 4 | 30th, 32nd (selected) | Often paired with other presenters |
| Jerry Lewis | Solo/lead host | 3 | 29th–31st (selected) | Late 1950s era |
| Steve Martin | Solo/co-host | 3 | 73rd, 81st, 82nd | Includes co-hosting credits |
| David Niven | Solo/lead host | 3 | 31st–33rd (selected) | Late 1950s/early 1960s |
| Jack Benny | Solo/lead host | 2 | 13th, 15th (selected) | Early ceremony-era hosting |
| Ellen DeGeneres | Solo/lead host | 2 | 79th, 86th | Two non-consecutive returns |
| Jon Stewart | Solo/lead host | 2 | 78th, 79th | Consecutive-year hosting |
