# Asian Countries and Their Currencies (ISO 4217 Codes Included)

| Subregion | Country | Currency (official name) | ISO 4217 code |
|---|---|---|---|
| East Asia | China | Renminbi (Yuan) | CNY |
| East Asia | Japan | Yen | JPY |
| East Asia | South Korea | Won | KRW |
| East Asia | North Korea | Won | KPW |
| East Asia | Mongolia | Tögrög | MNT |
| East Asia | Taiwan | New Taiwan dollar | TWD |
| Southeast Asia | Indonesia | Rupiah | IDR |
| Southeast Asia | Thailand | Baht | THB |
| Southeast Asia | Vietnam | Dong | VND |
| Southeast Asia | Malaysia | Malaysian ringgit | MYR |
| Southeast Asia | Singapore | Singapore dollar | SGD |
| Southeast Asia | Philippines | Philippine peso | PHP |
| Southeast Asia | Cambodia | Riel | KHR |
| Southeast Asia | Laos | Kip | LAK |
| Southeast Asia | Myanmar | Kyat | MMK |
| Southeast Asia | Brunei | Brunei dollar | BND |
