# Common Anti-Infective Medications for Practical Treatment Reference (Drug-Centered)

| Medication (generic) | Drug class/category | Typical infection uses (examples) | Key safety notes | Common route(s) |
|---|---|---|---|---|
| Amoxicillin-clavulanate | Beta-lactam + beta-lactamase inhibitor | Acute bacterial sinusitis, bite wounds, polymicrobial skin/soft tissue infections | Rash possible; adjust in renal impairment; avoid if prior cholestatic hepatitis with this drug | Oral |
| Ceftriaxone | 3rd-generation cephalosporin | Community-acquired pneumonia, gonorrhea, meningitis (selected cases) | Avoid calcium co-infusion in neonates; biliary sludging possible | IV/IM |
| Doxycycline | Tetracycline | Atypical pneumonia, acne/skin infections incl. CA-MRSA (selected), tick-borne infections | Photosensitivity; avoid in pregnancy and children <8 yrs when alternatives exist | Oral/IV |
| Trimethoprim-sulfamethoxazole (TMP-SMX) | Folate pathway inhibitor combo | Uncomplicated UTI, CA-MRSA skin infections, Pneumocystis jirovecii pneumonia treatment/prophylaxis | Hyperkalemia; rash/SJS risk; avoid late pregnancy if possible | Oral/IV |
| Metronidazole | Nitroimidazole | Anaerobic infections, bacterial vaginosis, giardiasis | Avoid alcohol (disulfiram-like reaction); neuropathy with prolonged use | Oral/IV |
| Nitrofurantoin | Urinary antiseptic | Uncomplicated cystitis (lower UTI only) | Avoid at term pregnancy and in significant renal impairment; not for pyelonephritis | Oral |
| Azithromycin | Macrolide | Atypical respiratory infections, chlamydia, selected traveler's diarrhea | QT prolongation risk; drug interactions less than erythromycin | Oral/IV |
| Fluconazole | Azole antifungal | Vulvovaginal candidiasis, esophageal candidiasis (selected) | Hepatotoxicity risk; many drug interactions; avoid high-dose in pregnancy | Oral/IV |
| Acyclovir | Antiviral (anti-HSV/VZV) | Genital herpes, HSV encephalitis (with IV), shingles | Renal crystalluria—hydrate/adjust dose; neurotoxicity with renal failure | Oral/IV |
| Oseltamivir | Neuraminidase inhibitor | Influenza A/B treatment and post-exposure prophylaxis | Nausea/vomiting common; start early for best benefit | Oral |
