# Horse Performance Supplement  Electrolytes and Minerals (Daily Scoop = 30 g)

| Nutrient | Unit | Amount per Scoop | Notes |
|---|---:|---:|---|
| Sodium (Na) | mg | 4200 | Supports hydration during training |
| Potassium (K) | mg | 2500 | Replaces sweat losses |
| Chloride (Cl) | mg | 6500 | Electrolyte balance |
| Magnesium (Mg) | mg | 350 | Muscle function |
| Calcium (Ca) | mg | 500 | Bone support |
| Phosphorus (P) | mg | 120 | Energy metabolism |
| Zinc | mg | 25 | Coat and hoof health |
| Copper | mg | 8 | Connective tissue |
| Selenium | mcg | 120 | Antioxidant enzymes |
| Vitamin E | IU | 400 | Oxidative stress support |
| Vitamin B1 (Thiamin) | mg | 5 | Nerve function |
| Calories | kcal | 50 | From dextrose carrier |
