# ABO Blood-Type Diet Food Compatibility Matrix (Allowed   Neutral   Avoid)

| Food | Food Group | Type A | Type B | Type AB | Type O |
|---|---|---|---|---|---|
| Tofu | Protein (Soy) | Allowed | Neutral | Allowed | Neutral |
| Lentils | Legume | Allowed | Neutral | Allowed | Avoid |
| Peanuts | Nuts/Seeds | Neutral | Avoid | Neutral | Avoid |
| Walnuts | Nuts/Seeds | Allowed | Allowed | Allowed | Allowed |
| Corn | Grain/Vegetable | Avoid | Avoid | Avoid | Avoid |
| Rice (brown) | Grain | Neutral | Allowed | Neutral | Allowed |
| Rye | Grain | Allowed | Neutral | Allowed | Avoid |
| Eggs | Protein | Neutral | Neutral | Neutral | Allowed |
| Shrimp | Seafood | Avoid | Neutral | Avoid | Avoid |
| Sardines | Fish | Allowed | Allowed | Allowed | Allowed |
| Kale | Vegetable | Allowed | Allowed | Allowed | Allowed |
| Cucumber | Vegetable | Allowed | Neutral | Allowed | Neutral |
| Banana | Fruit | Avoid | Neutral | Avoid | Neutral |
| Grapes | Fruit | Allowed | Allowed | Allowed | Neutral |
| Olive oil | Fat/Oil | Allowed | Allowed | Allowed | Allowed |
