# Broadway Musicals  Audition Requirements and Director Contact (Hiring Submission Info)

| Broadway Musical | Audition Type | Required Material | Casting Office | Director Contact Listed | Submission Notes |
|---|---|---|---|---|---|
| Wicked | EPA | 16 bars + monologue | Telsey + Co | Production Director (office) | Bring headshot/resume |
| Hamilton | EPA | Rap verse + 32 bars | Binder Casting | Resident Director Team | No walk-ins after sign-in |
| The Lion King | Open Call | 16 bars + movement | Disney Theatrical Casting | Stage Management / Direction Dept. | Dancers wear form-fitting attire |
| Chicago | ECC | Jazz combo + 16 bars | Stewart/Whitley | Revival Creative Staff | Tap shoes recommended |
| Hadestown | EPA | Folk/rock selection | The TRC Company | Associate/Resident Director | Union members first |
| The Book of Mormon | EPA | 16 bars + comedy sides | Tara Rubin Casting | Direction/Choreography Office | Age/height notes optional |
| Cabaret | Appointment | 32 bars + scene | CSA | Artistic Team (not named) | Sign NDA for sides |
| Rent | Community Call | 2 songs contrasting | Local producer | Director (TBD) | Non-Equity welcome |
| Les Misérables | Appointment | Classical legit + scene | KMR Casting | Director Email (generic) | Bring dialect experience |
| Fiddler on the Roof | EPA | 16 bars + monologue | Jim Carnahan Casting | Production Team Contact | Dance call same day |
