# Olympic Athletes — Age at Games and Event Participation (Selected Entries)

| Athlete | Country | Games | City | Sport | Event | Age | Result/Placement |
|---|---|---|---|---|---|---:|---|
| Sonja Henie | Norway | 1928 Winter | St. Moritz | Figure Skating | Women's Singles | 15 | 8th |
| Eddie Eagan | United States | 1932 Winter | Lake Placid | Bobsleigh | Four-Man | 32 | Gold |
| Paavo Nurmi | Finland | 1924 Summer | Paris | Athletics | 5000m | 27 | Gold |
| Fanny Blankers-Koen | Netherlands | 1948 Summer | London | Athletics | 100m | 30 | Gold |
| Abebe Bikila | Ethiopia | 1960 Summer | Rome | Athletics | Marathon | 28 | Gold |
| Nadia Comaneci | Romania | 1976 Summer | Montreal | Gymnastics | Women's All-Around | 14 | Gold |
| Michael Phelps | United States | 2004 Summer | Athens | Swimming | 200m Butterfly | 19 | Gold |
| Usain Bolt | Jamaica | 2008 Summer | Beijing | Athletics | 100m | 21 | Gold |
| Simone Biles | United States | 2016 Summer | Rio de Janeiro | Gymnastics | Women's Team | 19 | Gold |
| Eliud Kipchoge | Kenya | 2016 Summer | Rio de Janeiro | Athletics | Marathon | 31 | Gold |
