# Antimicrobial Therapy Options for Common Skin and Soft Tissue Infections (Primarily Bacterial)

| Condition | Typical causative organisms | First-line therapy | Alternatives | Notes |
|---|---|---|---|---|
| Impetigo | Staphylococcus aureus, Streptococcus pyogenes | Topical mupirocin | Oral cephalexin | Treat close contacts if outbreaks occur |
| Cellulitis (non-purulent) | Streptococci | Oral penicillin VK or cephalexin | Clindamycin | Elevation and supportive care |
| Cellulitis (purulent) | CA-MRSA | TMP-SMX or doxycycline | Clindamycin | Drain abscess when present |
| Erysipelas | Group A streptococcus | Penicillin | Cefazolin | Rapid onset with systemic symptoms |
| Necrotizing fasciitis | Polymicrobial or GAS | Piperacillin-tazobactam + vancomycin | Carbapenem-based regimen | Emergent surgical debridement |
| Animal bite infection | Pasteurella, anaerobes | Amoxicillin-clavulanate | Doxycycline + metronidazole | Consider rabies/tetanus prophylaxis |
| Catheter-related bacteremia | Coagulase-negative staph | Vancomycin | Daptomycin | Remove catheter if unstable |
| Otitis media | S. pneumoniae, H. influenzae | Amoxicillin | Amoxicillin-clavulanate | Viral causes common |
| UTI (uncomplicated) | E. coli | Nitrofurantoin | TMP-SMX | Local resistance guides choice |
