# Household Ingredient Strength Benchmarks with Uses, Pros Cons, and Practical Comparisons

| Ingredient | Common household use | Typical stated strength | Why people use it | Advantages | Disadvantages |
|---|---|---|---|---|---|
| Sodium hypochlorite | Disinfecting laundry/tiles | 5–8.25% available chlorine | Broad-spectrum disinfection | Fast acting | Corrosive; bleach odor |
| Acetic acid | Descaling/kitchen cleaning | 5% (vinegar) | Removes mineral deposits | Food-safe perception | Weak disinfectant |
| Hydrogen peroxide | Surface cleaning/first aid | 3% | Oxidizing cleaner | Less odor than bleach | Can discolor fabrics |
| Isopropyl alcohol | Electronics wipe-down | 70% v/v | Rapid evaporation | Low residue | Flammable |
| Sodium hydroxide | Drain clearing | 30–50% | Dissolves organic clogs | Very effective | Severe burns risk |
| Hydrochloric acid | Toilet descaling | 9–12% | Removes limescale/rust | Strong descaler | Fumes; damages metals |
| Ammonium hydroxide | Glass/floor cleaner | 2–10% | Cuts grease | Effective degreaser | Strong fumes |
| Sodium carbonate | Laundry booster | 5–15% in blends | Raises pH | Boosts detergency | Can irritate skin |
| Quat disinfectants | Spray disinfectants | 0.05–0.2% | Residual antimicrobial | Surface-friendly | Overuse concerns |
| Borax (sodium borate) | Laundry/odor control | 5–10% in boosters | Buffering/softening | Multipurpose | Regulatory scrutiny in some areas |
