# Papa John's Nutrition Facts Chart - Fast Food Nutrition Facts

|   | BBQ Chicken Bacon Pizza | Cheese Pizza | Double Bacon 6 Cheese Pizza | Garden Fresh Pizza | Hawaiian BBQ Chicken Pizza | John's Favorite Pizza | Pepperoni Pizza | Spicy Italian Pizza | Spinach Alfredo Pizza | Sweet Chili Chicken Pizza | The Meats Pizza | The Meats Pizza | The Works Pizza | Tuscan Six Cheese Pizza |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  | 290 | 230 | 290 | 220 | 290 | 340 | 270 | 320 | 220 | 270 | 310 |  | 270 | 260 |
|  | 120 | 110 | 140 | 100 | 120 | 200 | 140 | 180 | 110 | 100 | 170 |  | 140 | 130 |
|  | 13 | 12 | 16 | 11 | 13 | 22 | 16 | 20 | 12 | 11 | 19 |  | 15 | 14 |
|  | 5.0 | 5.0 | 7.0 | 4.0 | 5.0 | 9.0 | 6.0 | 8.0 | 4.5 | 4.0 | 7.0 |  | 6.0 | 6.0 |
|  | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |
|  | 35 | 25 | 35 | 20 | 35 | 40 | 30 | 22 | 25 | 25 | 40 |  | 30 | 30 |
|  | 690 | 380 | 630 | 360 | 690 | 850 | 530 | 640 | 350 | 620 | 710 |  | 590 | 460 |
|  | 29 | 22 | 22 | 24 | 31 | 20 | 22 | 22 | 21 | 34 | 22 |  | 23 | 22 |
|  | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 2 | 1 | 1 | 1 |  | 2 | 1 |
|  | 1 | 2 | 2 | 3 | 9 | 2 | 2 | 2 | 1 | 10 | 2 |  | 2 | 2 |
|  | 13 | 9 | 15 | 8 | 13 | 14 | 10 | 12 | 8 | 10 | 13 |  | 11 | 12 |
|  | 8 | 4 | 6 | 8 | 8 | 6 | 4 | 6 | 15 | 8 | 4 |  | 6 | 6 |
|  | 2 | 6 | 6 | 15 | 4 | 6 | 6 | 6 | 0 | 15 | 6 |  | 10 | 6 |
|  | 20 | 20 | 25 | 20 | 20 | 25 | 20 | 20 | 20 | 20 | 20 |  | 20 | 30 |
|  | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 6 | 2 | 4 | 4 |  | 6 | 4 |
