# Organism-Only Susceptibility Snapshot (Treatment Indirect via MIC Interpretation)

| Organism | Example syndrome association | Drug tested | MIC range (mcg/mL) | Interpretation (S/I/R) | Notes |
|---|---|---|---|---|---|
| Escherichia coli | UTI, sepsis | Ciprofloxacin | 0.015–1 | S–R | Resistance varies by region |
| Klebsiella pneumoniae | Pneumonia, UTI | Ceftriaxone | 0.06–64 | S–R | ESBL strains shift to R |
| Pseudomonas aeruginosa | HAP/VAP, wound | Piperacillin-tazobactam | 0.5–128 | S–R | Consider local antibiogram |
| Staphylococcus aureus (MSSA) | SSTI, bacteremia | Oxacillin | 0.25–2 | S | MSSA implies beta-lactam active |
| Staphylococcus aureus (MRSA) | SSTI, pneumonia | Vancomycin | 0.5–2 | S–I | AUC-guided dosing often used |
| Streptococcus pneumoniae | CAP, meningitis | Penicillin | 0.03–8 | S–R | Breakpoints depend on site |
| Enterococcus faecalis | UTI, endocarditis | Ampicillin | 0.5–16 | S–R | Synergy sometimes used |
| Candida albicans | Candidemia | Fluconazole | 0.125–64 | S–R | Species ID impacts choice |
| Neisseria gonorrhoeae | Urethritis/cervicitis | Ceftriaxone | 0.002–0.25 | S | Surveillance critical |
| Mycobacterium tuberculosis | TB disease | Isoniazid | 0.025–1 | S–R | Multi-drug regimens required |
