# Dog Breeds Overview by AKC-style Group and Key Traits

| Breed Group | Breed | Size Class | Trainability | Grooming Needs | Typical Temperament |
|---|---|---|---|---|---|
| Herding | German Shepherd Dog | Large | High | Medium | Confident, protective |
| Herding | Australian Shepherd | Medium | High | Medium | Energetic, smart |
| Herding | Shetland Sheepdog | Small-Medium | High | High | Alert, responsive |
| Sporting | Brittany | Medium | High | Low-Medium | Lively, friendly |
| Sporting | Cocker Spaniel (English) | Medium | Medium | High | Merry, affectionate |
| Hound | Afghan Hound | Large | Medium | High | Independent, dignified |
| Hound | Whippet | Medium | Medium | Low | Gentle, calm indoors |
| Terrier | Scottish Terrier | Small | Medium | Medium | Bold, spirited |
| Terrier | Border Terrier | Small | High | Low-Medium | Plucky, good-natured |
| Working | Great Dane | Giant | Medium | Low | Patient, friendly |
| Working | Bernese Mountain Dog | Large | Medium | High | Sweet, steady |
| Toy | Cavalier King Charles Spaniel | Small | High | Medium | Affectionate, adaptable |
| Toy | Pomeranian | Small | Medium | High | Lively, confident |
| Non-Sporting | Bulldog | Medium | Medium-Low | Low | Calm, stubborn |
| Non-Sporting | Dalmatian | Large | Medium | Low | Outgoing, energetic |
