# Respiratory Illness Risk Factors  Pathogens, Biomarkers, and Exposures

| Condition | Infectious agent (if any) | Transmission route (if infectious) | Biomarker association | Non-infectious trigger | Typical risk group |
|---|---|---|---|---|---|
| Influenza | Influenza A/B | Droplet/aerosol | CRP elevated | Cold-season crowding | Elderly, pregnant |
| COVID-19 | SARS-CoV-2 | Aerosol/close contact | D-dimer elevated | Indoor ventilation poor | Older adults |
| Bacterial pneumonia | S. pneumoniae | Respiratory droplets | Procalcitonin elevated | Aspiration risk | COPD patients |
| Asthma exacerbation | null | N/A | FeNO elevated | Pollen, smoke | Atopic individuals |
| COPD flare | Sometimes viral | Droplet | Sputum neutrophils | Tobacco exposure | Smokers |
| Lung cancer | null | N/A | CEA elevated | Smoking, radon | Long-term smokers |
| Pulmonary embolism | null | N/A | D-dimer elevated | Immobilization | Post-surgery |
| Allergic rhinitis | null | N/A | IgE elevated | Dust mites | Children |
| Heart failure dyspnea | null | N/A | BNP elevated | Hypertension | Elderly |
