# Selected Lunar Eclipses and Nearby Moon Phases (2010–2025)

| Year | Date (UTC) | Eclipse type | Phase at greatest eclipse | Visibility notes | Cultural / calendar note |
|---|---|---|---|---|---|
| 2010 | 2010-12-21 | Total | Full Moon | Americas, Europe, Africa | Near December solstice |
| 2011 | 2011-06-15 | Total | Full Moon | Europe, Africa, Asia, Australia | Mid-year eclipse season |
| 2013 | 2013-04-25 | Partial | Full Moon | Australia, Asia | Often called a “partial lunar eclipse” |
| 2014 | 2014-10-08 | Total | Full Moon | Pacific, Americas, East Asia | “Blood Moon” media label |
| 2015 | 2015-09-28 | Total | Full Moon | Americas, Europe, Africa | Supermoon headline |
| 2018 | 2018-07-27 | Total | Full Moon | Europe, Africa, Asia, Australia | Long totality widely reported |
| 2019 | 2019-01-21 | Total | Full Moon | Americas, Europe | “Wolf Moon” nickname |
| 2021 | 2021-05-26 | Total | Full Moon | Pacific Rim | “Super Blood Moon” coverage |
| 2022 | 2022-11-08 | Total | Full Moon | Asia, Australia, Americas | Election-day eclipse (US) |
| 2025 | 2025-03-14 | Total | Full Moon | Americas (partial elsewhere) | Start of eclipse season |
