# Bad ISPs - VuzeWiki

| ISP | Philippine Long Distance Telephone Company | myDestiny (Solid Broadband Corporation) | Globe Telecom | SMARTBro |
| --- | --- | --- | --- | --- |
| limits BitTorrent bandwidth | No | Yes | Yes | Yes |
| Tier 1 partners might 1 shape | No | No | No | No |
| proposed Encryption level | 0 | ? | ? | ? |
| limits bandwidth for accounts with a high traffic volume | Yes | No | Yes | Yes |
| limits bandwidth during certain times of the day | No | Yes | Yes | No |
| prevents seeding 2 | No | No | No | No |
| prevents/filters .torrent download 3 | No | No | Yes6 | Yes6 |
| causes unsolvable NAT problem | Yes | No | No | No |
| offers no real flatrate | No | No | No | No |
