# Fast & Furious Franchise — Vehicle Appearances by Film and Character

| Film | Scene/Set Piece | Car Model (Secondary) | Model Year | Driver/Owner (Character) | Outcome/Notes |
|---|---|---|---|---|---|
| The Fast and the Furious | Street race opener | Mitsubishi Eclipse GSX | 1995 | Brian O'Conner | Wrecked in garage fire |
| 2 Fast 2 Furious | Highway run | Nissan Skyline GT-R (R34) | 1999 | Brian O'Conner | Survives; police chase |
| Tokyo Drift | Parking garage drift | Nissan 350Z | 2003 | Takashi | Totaled |
| Fast & Furious | Train heist prep | Subaru Impreza WRX STI | 2009 | Dominic Toretto | Damaged during escape |
| Fast Five | Vault drag | Dodge Charger SRT-8 | 2011 | Dominic Toretto | Heavy damage |
| Fast & Furious 6 | Tank sequence | Jensen Interceptor | 1971 | Letty Ortiz | Flips during fight |
| Furious 7 | Abu Dhabi jump | Lykan Hypersport | 2013 | Dominic Toretto | Destroyed |
| The Fate of the Furious | Ice chase | Lamborghini Murciélago | 2010 | Cipher | Escapes |
| Fast X | Rome sequence | Alfa Romeo Giulia | 2017 | Roman Pearce | Damaged |
| Hobbs & Shaw | Factory chase | McLaren 720S | 2018 | Brixton | Crashed |
| Fast & Furious Presents | Street pursuit | Toyota Supra | 1994 | Han | Unknown |
| Fast Five | Safe house | Porsche 911 GT3 RS | 2010 | Tej Parker | Parked; no action |
