# Prime Ministers Mentioned in British Pop Culture (Songs, Films, Quotes) — No Office Years

| Prime Minister | Medium | Title | Context of mention | Quote/lyric snippet | Category |
|---|---|---|---|---|---|
| Edward Heath | Song | "Taxman" (quiz-style reference) | Name appears in trivia/quiz lists | "Mr Wilson, Mr Heath" | Music trivia |
| Harold Wilson | Song | "Taxman" (quiz-style reference) | Referenced alongside Heath | "Mr Wilson" | Music trivia |
| Winston Churchill | Film | "Darkest Hour" | Depicted during crisis leadership | "We shall never surrender" | Biopic |
| Margaret Thatcher | TV | "The Crown" | Portrayed in royal-political scenes | "The lady's not for turning" | Drama series |
| Tony Blair | Film | "The Queen" | Shown in post-1997 events | "We must act" | Political drama |
| Benjamin Disraeli | Novel | "Sybil" | Author-politician connection | "Two nations" | Literature |
| Robert Peel | Documentary | "History of Policing" | Credited with reforms | "Peelers" | Historical doc |
| Clement Attlee | Podcast | "Postwar Britain" | Discussed in welfare-state episodes | "From war to welfare" | Audio |
| David Lloyd George | Stage | "Welsh Political Legends" | Featured in regional history | "People's Budget" | Theatre/history |
| David Cameron | Satire | "Spitting Image" (revival) | Caricature of modern politics | "Austerity" | Satire |
