# European Union Treaties and Milestones by Country (Signed Adopted Dates, Not Accession)

| Country | Treaty of Rome Signed? | Maastricht Adopted (Y/N) | Lisbon Ratified (Year) | Notes |
|---|---|---:|---:|---|
| Belgium | Yes | Y | 2008 | Founding participant |
| France | Yes | Y | 2008 | Founding participant |
| Germany | Yes | Y | 2008 | Founding participant |
| Italy | Yes | Y | 2008 | Founding participant |
| Netherlands | Yes | Y | 2008 | Founding participant |
| Luxembourg | Yes | Y | 2008 | Founding participant |
| Spain | No | Y | 2008 | Later entrant |
| Portugal | No | Y | 2008 | Later entrant |
| Austria | No | Y | 2008 | Later entrant |
| Sweden | No | Y | 2008 | Later entrant |
| Poland | No | Y | 2008 | Later entrant |
| Croatia | No | Y | 2012 | Later entrant |
| Denmark | No | Y | 2008 | Opt-outs in some areas |
