# Asian Countries and Their Currencies (Quick Country–Currency Reference)

| Subregion | Country | Currency |
|---|---|---|
| East Asia | China | Renminbi (Yuan) |
| East Asia | Japan | Japanese yen |
| East Asia | Mongolia | Mongolian tögrög |
| East Asia | South Korea | South Korean won |
| East Asia | North Korea | North Korean won |
| Southeast Asia | Thailand | Thai baht |
| Southeast Asia | Vietnam | Vietnamese đồng |
| Southeast Asia | Indonesia | Indonesian rupiah |
| Southeast Asia | Malaysia | Malaysian ringgit |
| Southeast Asia | Singapore | Singapore dollar |
| Southeast Asia | Philippines | Philippine peso |
| Southeast Asia | Cambodia | Cambodian riel |
| Southeast Asia | Laos | Lao kip |
| Southeast Asia | Myanmar | Myanmar kyat |
| South Asia | India | Indian rupee |
| South Asia | Pakistan | Pakistani rupee |
| South Asia | Bangladesh | Bangladeshi taka |
| South Asia | Nepal | Nepalese rupee |
| South Asia | Sri Lanka | Sri Lankan rupee |
| Central Asia | Kazakhstan | Kazakhstani tenge |
| Central Asia | Kyrgyzstan | Kyrgyzstani som |
| Central Asia | Tajikistan | Tajikistani somoni |
| Central Asia | Uzbekistan | Uzbekistani soʻm |
| Central Asia | Turkmenistan | Turkmenistani manat |
| West Asia (Middle East) | Saudi Arabia | Saudi riyal |
| West Asia (Middle East) | United Arab Emirates | UAE dirham |
| West Asia (Middle East) | Qatar | Qatari riyal |
| West Asia (Middle East) | Oman | Omani rial |
| West Asia (Middle East) | Kuwait | Kuwaiti dinar |
| West Asia (Middle East) | Jordan | Jordanian dinar |
| West Asia (Middle East) | Israel | Israeli new shekel |
| West Asia (Middle East) | Iraq | Iraqi dinar |
| West Asia (Middle East) | Iran | Iranian rial |
| West Asia (Middle East) | Yemen | Yemeni rial |
