# Infectious-Disease Risk by Exposure Route (Waterborne, Foodborne, Vectorborne, Animal Contact)

| Exposure route | Typical exposure setting | Example diseases | Main pathogens/agents | Key transmission pathway (core) |
|---|---|---|---|---|
| Waterborne (drinking water) | Untreated wells, disrupted municipal supply, disasters | Cholera; Typhoid fever; Hepatitis A | Vibrio cholerae; Salmonella Typhi; Hepatovirus A | Ingestion of water contaminated with human feces (fecal–oral) |
| Waterborne (recreational water) | Pools, lakes, splash pads | Cryptosporidiosis; Giardiasis | Cryptosporidium spp.; Giardia duodenalis | Swallowing water contaminated with fecal material; oocysts/cysts survive in environment |
| Foodborne (undercooked animal products) | Undercooked poultry/eggs, raw milk | Campylobacteriosis; Salmonellosis | Campylobacter jejuni; Salmonella enterica | Ingestion of contaminated food; cross-contamination during preparation |
| Foodborne (seafood) | Raw oysters, coastal harvest after runoff | Vibriosis | Vibrio vulnificus; V. parahaemolyticus | Ingestion of contaminated shellfish; bacteria multiply in warm seawater |
| Vectorborne (mosquito) | Tropical/subtropical regions, standing water | Malaria; Dengue | Plasmodium spp.; Dengue virus | Infectious bite from mosquito vector during blood feeding |
| Vectorborne (tick) | Wooded/brush areas, outdoor work | Lyme disease; Tick-borne encephalitis | Borrelia burgdorferi; TBE virus | Pathogen transfer during tick attachment and prolonged feeding |
| Animal-bite / saliva exposure | Dog bites; bat exposure | Rabies | Rabies lyssavirus | Virus in saliva enters through bite wound or mucosa |
| Rodent urine/aerosol exposure | Cleaning sheds, grain storage, poorly ventilated cabins | Hantavirus disease; Leptospirosis | Hantaviruses; Leptospira spp. | Inhalation of aerosolized rodent excreta or contact with urine-contaminated water/soil |
| Respiratory droplet / aerosol | Crowded indoor settings, poor ventilation | Influenza; Measles | Influenza A/B viruses; Measles virus | Inhalation of infectious droplets/aerosols from coughing/breathing |
| Bloodborne / needle exposure | Shared needles, unsafe injections | HIV; Hepatitis B | HIV; HBV | Direct inoculation via percutaneous exposure to infected blood |
| Sexual exposure (mucosal) | Unprotected sex, multiple partners | Gonorrhea; Syphilis | Neisseria gonorrhoeae; Treponema pallidum | Mucosal contact with infectious secretions during sexual activity |
| Soil-transmitted helminths | Poor sanitation, barefoot contact | Hookworm disease; Ascariasis | Ancylostoma/Necator; Ascaris lumbricoides | Skin penetration by larvae (hookworm) or ingestion of eggs from contaminated soil |
