# Key Hominin Discovery Milestones by Species (Fossils, Genomes, and Context)

| Approx. age (years ago) | Species / lineage | Key specimen or evidence | Discovery year | Discovery location | Lead discoverer(s) / team | What was discovered (why it mattered) |
| --- | --- | --- | --- | --- | --- | --- |
| ~7,000,000 | *Sahelanthropus tchadensis* | "Toumaï" cranial remains | 2001 | Toros-Menalla, Chad | Michel Brunet team | One of the earliest widely cited hominins; anatomy suggested possible early bipedal adaptations near the human–chimp split. |
| ~6,000,000 | *Orrorin tugenensis* | Femora and dental remains | 2000 | Tugen Hills, Kenya | Brigitte Senut & Martin Pickford | Femur morphology interpreted as evidence for early bipedalism; challenged linear narratives of later bipedality. |
| ~5,800–4,400,000 | *Ardipithecus kadabba* | Teeth and postcranial fragments | 1997 | Middle Awash, Ethiopia | Yohannes Haile-Selassie; Middle Awash Project | Extended the *Ardipithecus* record deeper in time; helped clarify early hominin diversity before *A. ramidus*. |
| ~4,400,000 | *Ardipithecus ramidus* | Partial skeleton "Ardi" | 1994 (announced 2009) | Aramis, Ethiopia | Tim White; Middle Awash Project | Showed a mosaic of traits (bipedal potential + climbing); shifted assumptions about the last common ancestor and woodland habitats. |
| ~4,200–3,900,000 | *Australopithecus anamensis* | Jaw and limb bones | 1994 | Kanapoi & Allia Bay, Kenya | Meave Leakey and colleagues | Strengthened the case for a pre-*afarensis* australopith; helped anchor a sequence for early Australopithecus evolution. |
| ~3,670,000 | *Australopithecus afarensis* (trackmakers) | Laetoli footprints | 1976 | Laetoli, Tanzania | Mary Leakey team | Direct behavioral evidence of habitual bipedalism well before the genus *Homo*. |
| ~3,180,000 | *Australopithecus afarensis* | "Lucy" (AL 288-1) | 1974 | Hadar, Ethiopia | Donald Johanson & team | A remarkably complete skeleton; clarified body plan and locomotion of early australopiths. |
| ~2,800,000 | early *Homo* (candidate) | Ledi-Geraru mandible (LD 350-1) | 2013 | Afar, Ethiopia | Brian Villmoare; Ledi-Geraru Project | Pushed the probable emergence of *Homo* earlier than many prior estimates; informed transitions from australopiths to early *Homo*. |
| ~2,000,000 | *Homo habilis* | Olduvai fossils (OH 7 and others) | 1960 | Olduvai Gorge, Tanzania | Louis & Mary Leakey; Jon Napier; Phillip Tobias | Linked early *Homo* to stone tool traditions and increased brain size relative to australopiths. |
| ~1,800,000 | *Homo erectus* | "Java Man" | 1891 | Trinil, Java, Indonesia | Eugène Dubois | Established early evidence for ancient humans outside Africa; key to recognizing deep time for human evolution. |
| ~400,000 | Denisovans | Ancient DNA from a finger bone (Denisova 3) | 2008 (DNA published 2010) | Denisova Cave, Siberia | Svante Pääbo lab; Russian collaborators | Revealed a previously unknown archaic human group via genomics; transformed understanding of interbreeding and diversity. |
| ~60,000–45,000 | Neanderthals (*H. neanderthalensis*) | High-quality nuclear genome | 1997 (mtDNA), 2010 (draft nuclear genome) | Specimens across Europe (sequenced in Germany) | Svante Pääbo and colleagues | Demonstrated gene flow between Neanderthals and modern humans; reframed species boundaries and admixture history. |
