# Household Disinfectants  Active Ingredient and Claims (Strength Hidden as Qualitative Labels)

| Product Example | Active Ingredient | CAS No. | Labeled Strength Category | Primary Claim | Surface Compatibility |
| --- | --- | --- | --- | --- | --- |
| Chlorine bleach | Sodium hypochlorite | 7681-52-9 | Regular | Disinfection/whitening | Hard surfaces |
| Color-safe bleach | Hydrogen peroxide | 7722-84-1 | Mild | Stain removal | Fabrics |
| Toilet bowl cleaner | Hydrochloric acid | 7647-01-0 | Strong | Limescale removal | Ceramic only |
| Descaler | Sulfamic acid | 5329-14-6 | Medium | Scale removal | Metals limited |
| Hand sanitizer | Ethanol | 64-17-5 | High | Antimicrobial | Skin |
| Hand sanitizer | Isopropanol | 67-63-0 | High | Antimicrobial | Skin |
| Disinfectant spray | Benzalkonium chloride | 8001-54-5 | Low | Sanitizing | Most surfaces |
| Vinegar cleaner | Acetic acid | 64-19-7 | Mild | Deodorizing/cleaning | Most surfaces |
| Mold remover | Sodium hypochlorite | 7681-52-9 | Strong | Mold stain removal | Ventilation required |
