# Broadway Musical Revivals — Directors of Selected Broadway Revival Productions

| Musical (Broadway Revival) | Revival Opening Year (Broadway) | Director(s) (Broadway Revival) | Notes (Revival context) |
|---|---:|---|---|
| Cabaret | 1998 | Sam Mendes | Broadway revival staging |
| Sweeney Todd: The Demon Barber of Fleet Street | 2005 | John Doyle | Actor-musician revival |
| South Pacific | 2008 | Bartlett Sher | Lincoln Center Theater revival |
| Hair | 2009 | Diane Paulus | Broadway transfer/revival |
| How to Succeed in Business Without Really Trying | 2011 | Rob Ashford | Broadway revival |
| Evita | 2012 | Michael Grandage | Broadway revival |
| Pippin | 2013 | Diane Paulus | Broadway revival |
| On the Town | 2014 | John Rando | Broadway revival |
| Sunday in the Park with George | 2017 | Sarna Lapine | Broadway revival |
| My Fair Lady | 2018 | Bartlett Sher | Broadway revival |
| Company | 2021 | Marianne Elliott | Gender-swapped Broadway revival |
| Into the Woods | 2022 | Lear deBessonet | Broadway revival |
| Sweeney Todd | 2023 | Thomas Kail | Broadway revival |
| Merrily We Roll Along | 2023 | Maria Friedman | Broadway revival |
| Gypsy | 2024 | George C. Wolfe | Broadway revival |
| Sunset Boulevard | 2024 | Jamie Lloyd | Broadway revival |
