# Religious Communities  Cultural Stereotypes and Narrative Traits by Region

| Region | Religion | Common Narrative Trait (media framing) | Family Model (stereotype) | Gender Role Commentary | Attitude Toward Modernity (as described) | "Cultural Distance" Rating (1-5) | Example Descriptor |
|---|---|---|---|---|---|---:|---|
| Western Europe | Christianity | "Private faith" | Nuclear family | "More egalitarian" | "Highly modern" | 2 | "Cultural Christianity" |
| Middle East | Islam | "Public religion" | Extended family | "Traditional" | "Contested modernity" | 4 | "Religion intertwined with law" |
| South Asia | Hinduism | "Ritual diversity" | Joint family | "Role-differentiated" | "Hybrid" | 3 | "Festival-centered practice" |
| East Asia | Buddhism | "Meditative" | Mixed | "Context-dependent" | "Adaptive" | 2 | "Mindfulness-oriented" |
| North America | No religion | "Individualist" | Diverse | "Highly egalitarian" | "Highly modern" | 1 | "Secular humanism" |
| Sub-Saharan Africa | Christianity | "Charismatic" | Extended family | "Varies" | "Rapid change" | 3 | "Pentecostal growth" |
| Southeast Asia | Islam | "Community-focused" | Extended family | "Traditional" | "Mixed" | 3 | "Mosque-centered life" |
| Latin America | Christianity | "Popular devotion" | Extended family | "Traditional" | "Mixed" | 3 | "Saint veneration" |
| Central Asia | Islam | "Identity marker" | Extended family | "Traditional" | "Post-Soviet shift" | 4 | "Revival narratives" |
