# Science Magazines and Subscription Prices (Discovery-Themed Reading List)

| Magazine | Category | Typical topics | Annual price (USD) | Discount | Format | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Science News | Science news | research highlights | 59.00 | 25% | Print+Digital | Weekly news briefs |
| Scientific American | Popular science | explainers & features | 79.00 | 15% | Print+Digital | Long-form articles |
| Popular Science | Tech & science | gadgets + science | 24.00 | 40% | Digital | Consumer leaning |
| Astronomy | Space science | telescopes, planets | 49.00 | 20% | Print | Hobby + science |
| Archaeology | History/science | digs, artifacts | 34.00 | 10% | Print | Field reports |
| Psychology Today | Psychology | mental health | 39.00 | 5% | Print+Digital | General audience |
| Technology Review | Tech | AI, computing | 69.00 | 12% | Digital | Innovation coverage |
| Sky & Telescope | Amateur astronomy | observing guides | 45.00 | 18% | Print | Practical focus |
| Air & Space Smithsonian | Aerospace | flight, space | 35.00 | 22% | Print | Museum-linked |
| National Wildlife | Nature | ecology, animals | 28.00 | 30% | Print | Conservation focus |
