# Stocks - Hot Stocks | Hot Stocks Gainers

| Sym | RAI | FDP | FBC | FSS | AHC | GPN | NLSN | PCP | WCN | UPS | IGT | SVU | ALSN | NEU | ECL | GBAB | XOM | PLL | CMP | ARW | EMN | JEC | AZUR | TXT | KEM | MSB | PAI | OMI | HME | CMI | PFE | SJM | VAL | MDT | PX | CVX | KN | FGL | BDX | MAS | BPL | WNC | ALLY | AKS | TARO | ELJ | BWP | BAK | AMFW | EMR | CVE | ARG | APC | SNA | EOG | IFF | BRX | LGF | AEUA | WAIR | MPV | PLT | BHL | VSTO | CRT | ECT | XON | FDX | CLF | GS-D | SSD | WOR | MTX | ADM | ETE | AVT | NSH | CX | SAIC | Q | BIN | CEQP | ROYT | VAR | CTLT | UNP | SJT | PPG | WM | HES | SCCO | BYD | RMD | MTCN | SBR | ORCL | UNH | HAE | HON | WBS-E |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Reynolds American Inc | Fresh Del Monte Produce | Flagstar Bancorp | Federal Signal Corp | A.H. Belo Corp | Global Payments Inc | Nielsen Holdings N.V. | Precision Castparts Corp | Waste Connections Inc | United Parcel Service | International Game Technology | Supervalu Inc | Allison Transmission Holdings | Newmarket Corp | Ecolab Inc | Guggenheim Build America Bonds | Exxon Mobil Corp | Pall Corp | Compass Minerals Intl Inc | Arrow Electronics | Eastman Chemical Company | Jacobs Engineering Group Inc | Azure Midstream Partners LP | Textron Inc | Kemet Corp | Mesabi Trust | Pacific American Income Shares | Owens & Minor | Home Properties | Cummins Inc | Pfizer Inc | J.M. Smucker Company | Valspar Corp | Medtronic Inc | Praxair | Chevron Corp | Knowles Corporation Common Stoc | Fidelity & Guaranty | Becton Dickinson and Company | Masco Corp | Buckeye Partners L.P. | Wabash National Corp | Ally Financial | AK Steel Holding Corp | Taro Pharm Inds | Entergy Louisiana Llc | Boardwalk Pipeline Partners L.P. | Copene-Petroquimica Do Nordeste | Amec Foster Wheeler Plc. | Emerson Electric Company | Cenovus Energy Inc | Airgas Inc | Anadarko Petroleum Corp | Snap-On Inc | Eog Resources | International Flavors & Fragrances | Brixmor Property Group Inc. Com | Lions Gate Entertainment Corp | Anadarko Petroleum Corp. | Wesco Aircraft Holdings Inc | Massmutual Participation Investors | Plantronics | Blackrock Defined Opportunity Trust | Vista Outdoor Inc. Common Stock | Cross Timbers Royalty Trust | Eca Marcellus Trust I | Intrexon Corp | Fedex Corp | Cliffs Natural Resources Inc | Goldman Sachs Dep Sh | Simpson Manufacturing Company | Worthington Industries | Minerals Technologies Inc | Archer Daniels Midland Company | Energy Transfer Equity LP | Avnet Inc | Nustar Gp Holdings Llc | Cemex S.A.B. De C.V. Sponsored | Science Applications Internatio | Quintiles Transitional Holdings | Iesi-Bfc Ltd | Crestwood Equity Partners LP | Pacific Coast Oil Trust | Varian Medical Systems | Catalent Inc. | Union Pacific Corp | San Juan Basin Royalty Trust | PPG Industries | Waste Management | Hess Corp | Southern Peru Copper Corp | Boyd Gaming Corp | Resmed Inc | Arcelormittal | Sabine Royalty Trust | Oracle Corp | Unitedhealth Group Inc | Haemonetics Corp | Honeywell International Inc | Webster Financial Corp |
| Std Dev | +4.14 | +4.08 | +4.01 | +3.96 | +3.90 | +3.89 | +3.82 | +3.79 | +3.76 | +3.64 | +3.62 | +3.61 | +3.60 | +3.56 | +3.52 | +3.50 | +3.47 | +3.39 | +3.39 | +3.33 | +3.29 | +3.28 | +3.24 | +3.18 | +3.14 | +3.13 | +3.03 | +3.01 | +2.99 | +2.89 | +2.87 | +2.82 | +2.81 | +2.80 | +2.80 | +2.79 | +2.79 | +2.79 | +2.77 | +2.75 | +2.72 | +2.71 | +2.71 | +2.70 | +2.69 | +2.67 | +2.66 | +2.64 | +2.63 | +2.63 | +2.63 | +2.62 | +2.61 | +2.59 | +2.57 | +2.57 | +2.57 | +2.57 | +2.57 | +2.56 | +2.56 | +2.56 | +2.55 | +2.54 | +2.53 | +2.53 | +2.51 | +2.50 | +2.50 | +2.50 | +2.48 | +2.48 | +2.47 | +2.46 | +2.45 | +2.45 | +2.45 | +2.44 | +2.43 | +2.43 | +2.42 | +2.42 | +2.41 | +2.40 | +2.38 | +2.38 | +2.37 | +2.36 | +2.36 | +2.36 | +2.36 | +2.35 | +2.35 | +2.35 | +2.34 | +2.33 | +2.33 | +2.33 | +2.33 | +2.33 |
| Last | 84.20 | 40.08 | 19.97 | 15.19 | 5.34 | 109.91 | 47.18 | 201.37 | 49.75 | 99.94 | 19.52 | 8.14 | 29.36 | 459.81 | 113.77 | 21.17 | 82.48 | 126.30 | 84.97 | 56.34 | 77.02 | 41.69 | 11.53 | 42.87 | 2.24 | 11.37 | 13.27 | 35.31 | 73.45 | 128.00 | 35.35 | 108.71 | 82.39 | 77.47 | 115.38 | 92.40 | 18.30 | 25.73 | 149.88 | 25.63 | 75.44 | 12.37 | 22.47 | 2.90 | 139.60 | 25.06 | 14.01 | 7.15 | 12.74 | 51.80 | 14.11 | 100.90 | 72.85 | 161.13 | 76.85 | 113.70 | 24.22 | 38.51 | 49.44 | 14.64 | 12.96 | 57.18 | 13.29 | 46.05 | 16.19 | 2.41 | 60.60 | 169.43 | 2.97 | 19.95 | 35.41 | 27.77 | 63.90 | 48.35 | 30.18 | 40.72 | 34.11 | 8.36 | 53.18 | 76.75 | 25.06 | 3.71 | 3.23 | 89.33 | 33.01 | 96.62 | 11.06 | 106.92 | 50.16 | 59.65 | 27.30 | 17.16 | 56.70 | 14.49 | 34.85 | 39.28 | 121.52 | 39.07 | 104.20 | 25.58 |
| Change | +5.01 | +3.22 | +1.51 | +1.20 | +0.75 | +7.74 | +2.38 | +14.04 | +2.69 | +4.82 | +1.06 | +0.78 | +0.99 | +14.81 | +5.38 | +0.58 | +3.22 | +0.57 | +4.11 | +3.51 | +4.91 | +2.09 | +1.85 | +2.34 | +0.44 | +1.47 | +0.24 | +1.35 | +0.58 | +4.22 | +1.01 | +2.73 | +3.16 | +1.81 | +3.56 | +3.26 | +1.07 | +0.60 | +3.55 | +2.47 | +4.24 | +0.61 | +0.92 | +0.38 | +3.90 | +0.28 | +0.64 | +0.73 | +0.64 | +1.34 | +0.90 | +3.72 | +2.86 | +4.04 | +3.66 | +2.59 | +0.44 | +1.33 | +1.44 | +0.66 | +0.40 | +1.08 | +0.09 | +1.35 | +0.97 | +0.21 | +6.03 | +4.69 | +0.57 | +0.32 | +0.91 | +1.50 | +2.54 | +1.09 | +1.22 | +1.20 | +1.12 | +0.53 | +1.24 | +2.17 | +0.57 | +0.23 | +0.26 | +2.02 | +1.40 | +4.23 | +0.29 | +4.53 | +1.10 | +1.97 | +1.21 | +0.68 | +1.53 | +0.67 | +1.86 | +0.77 | +3.64 | +0.97 | +2.56 | +0.25 |
| Percent | +6.33% | +8.74% | +8.18% | +8.58% | +16.34% | +7.58% | +5.31% | +7.49% | +5.72% | +5.07% | +5.74% | +10.60% | +3.49% | +3.33% | +4.96% | +2.82% | +4.06% | +0.45% | +5.08% | +6.64% | +6.81% | +5.28% | +19.11% | +5.77% | +24.44% | +14.85% | +1.84% | +3.98% | +0.80% | +3.41% | +2.94% | +2.58% | +3.99% | +2.39% | +3.18% | +3.66% | +6.21% | +2.39% | +2.43% | +10.66% | +5.96% | +5.19% | +4.27% | +15.08% | +2.87% | +1.13% | +4.79% | +11.37% | +5.29% | +2.66% | +6.81% | +3.83% | +4.09% | +2.57% | +5.00% | +2.33% | +1.85% | +3.58% | +3.00% | +4.72% | +3.18% | +1.93% | +0.68% | +3.02% | +6.37% | +9.55% | +11.05% | +2.85% | +23.75% | +1.63% | +2.64% | +5.71% | +4.14% | +2.31% | +4.21% | +3.04% | +3.39% | +6.77% | +2.39% | +2.91% | +2.33% | +6.61% | +8.75% | +2.31% | +4.43% | +4.58% | +2.69% | +4.42% | +2.24% | +3.42% | +4.64% | +4.13% | +2.77% | +4.85% | +5.64% | +2.00% | +3.09% | +2.55% | +2.52% | +0.99% |
| High | 84.77 | 40.11 | 20.10 | 15.49 | 5.44 | 110.80 | 47.39 | 203.51 | 50.49 | 100.47 | 19.53 | 8.80 | 29.67 | 461.24 | 114.28 | 21.23 | 82.66 | 126.50 | 85.47 | 56.97 | 78.45 | 41.89 | 11.66 | 43.15 | 2.40 | 11.42 | 13.29 | 35.55 | 73.51 | 129.46 | 35.47 | 108.71 | 82.44 | 77.51 | 115.57 | 92.69 | 19.20 | 25.95 | 149.96 | 25.92 | 75.58 | 12.41 | 22.68 | 3.00 | 140.25 | 25.14 | 14.09 | 7.19 | 12.84 | 51.96 | 14.21 | 101.24 | 73.40 | 161.33 | 77.56 | 113.84 | 24.34 | 38.69 | 49.44 | 14.66 | 12.99 | 58.17 | 13.29 | 46.26 | 16.19 | 2.50 | 61.38 | 169.65 | 3.10 | 19.96 | 35.59 | 28.21 | 64.03 | 48.39 | 30.43 | 40.98 | 34.28 | 8.36 | 53.21 | 76.80 | 25.13 | 3.71 | 3.25 | 89.55 | 33.03 | 97.02 | 11.26 | 107.19 | 50.25 | 59.88 | 27.58 | 17.36 | 56.99 | 14.52 | 35.04 | 39.37 | 121.57 | 39.19 | 104.52 | 25.58 |
| Low | 81.05 | 37.13 | 19.33 | 13.06 | 4.43 | 102.12 | 45.78 | 188.61 | 47.10 | 97.83 | 18.39 | 7.93 | 28.49 | 445.15 | 108.24 | 20.57 | 79.56 | 125.94 | 81.15 | 54.25 | 73.74 | 39.37 | 9.84 | 41.04 | 1.97 | 9.79 | 13.06 | 33.11 | 72.83 | 127.01 | 34.40 | 105.76 | 78.66 | 75.78 | 111.73 | 89.43 | 16.65 | 25.04 | 146.59 | 24.14 | 71.33 | 11.81 | 21.80 | 2.62 | 136.17 | 24.81 | 13.14 | 6.42 | 12.35 | 50.62 | 13.19 | 96.90 | 69.40 | 157.09 | 73.40 | 110.97 | 23.57 | 37.09 | 47.69 | 14.03 | 12.57 | 56.02 | 13.20 | 44.62 | 15.05 | 2.22 | 55.03 | 166.19 | 2.46 | 19.63 | 34.34 | 26.55 | 60.79 | 47.20 | 28.71 | 39.58 | 32.71 | 7.89 | 52.10 | 74.45 | 24.50 | 3.48 | 2.94 | 87.58 | 31.52 | 93.09 | 10.79 | 102.64 | 49.52 | 57.57 | 26.07 | 16.67 | 55.22 | 14.01 | 32.80 | 38.44 | 118.50 | 38.04 | 102.30 | 25.12 |
| Time | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 |
| Links |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
