# Romanian Football Clubs and Representative Cities (Liga I and Notable Cup Teams)

| Region | City | Club | Stadium | Common Short Name |
|---|---|---|---|---|
| Bucharest Area | Bucharest | FCSB | Arena Națională | Steaua/FCSB |
| Bucharest Area | Bucharest | Dinamo București | Arcul de Triumf / Dinamo Stadium | Dinamo |
| Bucharest Area | Bucharest | Rapid București | Stadionul Giulești | Rapid |
| Transylvania | Cluj-Napoca | CFR Cluj | Stadionul Dr. Constantin Rădulescu | CFR |
| Transylvania | Cluj-Napoca | Universitatea Cluj | Cluj Arena | U Cluj |
| Oltenia | Craiova | Universitatea Craiova | Stadionul Ion Oblemenco | U Craiova |
| Banat | Timișoara | Politehnica Timișoara | Stadionul Dan Păltinișanu | Poli |
| Muntenia | Ploiești | Petrolul Ploiești | Stadionul Ilie Oană | Petrolul |
| Crișana | Arad | UTA Arad | Stadionul Francisc von Neuman | UTA |
| Crișana | Oradea | FC Bihor Oradea | Stadionul Iuliu Bodola | Bihor |
| Jiu Valley | Petroșani | Jiul Petroșani | Stadionul Jiul | Jiul |
| Wallachia | Râmnicu Vâlcea | Chimia Râmnicu Vâlcea | Stadionul Zăvoi | Chimia |
