# West & Central Asia  Countries and Their Currencies (Including Capitals)

| Country | Capital | Currency name | ISO 4217 code | Currency symbol |
|---|---|---|---|---|
| Saudi Arabia | Riyadh | Saudi riyal | SAR | ﷼ |
| United Arab Emirates | Abu Dhabi | UAE dirham | AED | د.إ |
| Qatar | Doha | Qatari riyal | QAR | ر.ق |
| Kuwait | Kuwait City | Kuwaiti dinar | KWD | د.ك |
| Oman | Muscat | Omani rial | OMR | ر.ع. |
| Bahrain | Manama | Bahraini dinar | BHD | .د.ب |
| Jordan | Amman | Jordanian dinar | JOD | د.ا |
| Lebanon | Beirut | Lebanese pound | LBP | ل.ل |
| Israel | Jerusalem | Israeli new shekel | ILS | ₪ |
| Iraq | Baghdad | Iraqi dinar | IQD | ع.د |
| Iran | Tehran | Iranian rial | IRR | ﷼ |
| Kazakhstan | Astana | Kazakhstani tenge | KZT | ₸ |
| Uzbekistan | Tashkent | Uzbekistani soʻm | UZS | soʻm |
