# IAU Constellations and Their Bordering (Adjacent) Constellations — Northern Sky Examples

| Constellation | Hemisphere/Region | Bordering (Adjacent) Constellations |
|---|---|---|
| Ursa Minor | Northern | Ursa Major; Draco; Camelopardalis; Cepheus |
| Ursa Major | Northern | Ursa Minor; Draco; Camelopardalis; Lynx; Leo Minor; Leo; Coma Berenices; Canes Venatici; Boötes |
| Draco | Northern | Ursa Minor; Ursa Major; Camelopardalis; Cepheus; Cygnus; Lyra; Hercules; Boötes |
| Cepheus | Northern | Ursa Minor; Draco; Camelopardalis; Cassiopeia; Lacerta; Cygnus |
| Cassiopeia | Northern | Cepheus; Camelopardalis; Perseus; Andromeda; Lacerta |
| Camelopardalis | Northern | Ursa Minor; Ursa Major; Draco; Cepheus; Cassiopeia; Perseus; Auriga; Lynx |
| Perseus | Northern | Cassiopeia; Andromeda; Triangulum; Aries; Taurus; Auriga; Camelopardalis |
| Andromeda | Northern | Cassiopeia; Perseus; Triangulum; Pegasus; Pisces; Lacerta |
| Cygnus | Northern | Cepheus; Draco; Lyra; Vulpecula; Pegasus; Lacerta |
| Lyra | Northern | Cygnus; Draco; Hercules; Vulpecula |
| Hercules | Northern | Draco; Lyra; Boötes; Corona Borealis; Serpens; Ophiuchus; Aquila |
| Boötes | Northern | Ursa Major; Draco; Canes Venatici; Coma Berenices; Virgo; Serpens; Corona Borealis; Hercules |
