# Asian Countries and Their Official Currencies (Reference List  East & Southeast Asia)

| Subregion | Country / Territory | Currency | ISO 4217 Code |
|---|---|---|---|
| East Asia | China | Renminbi (Yuan) | CNY |
| East Asia | Japan | Japanese Yen | JPY |
| East Asia | South Korea | South Korean Won | KRW |
| East Asia | North Korea | North Korean Won | KPW |
| East Asia | Mongolia | Mongolian Tögrög | MNT |
| East Asia | Taiwan | New Taiwan Dollar | TWD |
| Southeast Asia | Brunei | Brunei Dollar | BND |
| Southeast Asia | Cambodia | Cambodian Riel | KHR |
| Southeast Asia | Indonesia | Indonesian Rupiah | IDR |
| Southeast Asia | Laos | Lao Kip | LAK |
| Southeast Asia | Malaysia | Malaysian Ringgit | MYR |
| Southeast Asia | Myanmar | Myanmar Kyat | MMK |
| Southeast Asia | Philippines | Philippine Peso | PHP |
| Southeast Asia | Singapore | Singapore Dollar | SGD |
| Southeast Asia | Thailand | Thai Baht | THB |
| Southeast Asia | Vietnam | Vietnamese Đồng | VND |
| Southeast Asia | Timor-Leste | United States Dollar | USD |
