# Disease-Modifying Antirheumatic Drugs (DMARDs) and Biologics for Arthritis Disease Control

| Class | Brand Name | Generic Name | Primary Purpose | Key Monitoring/Notes |
|---|---|---|---|---|
| Conventional DMARD | Arava | Leflunomide | Slow RA progression | LFTs; teratogenicity |
| Conventional DMARD | Azulfidine | Sulfasalazine | Inflammatory arthritis control | CBC/LFTs |
| Conventional DMARD | Imuran | Azathioprine | Immune suppression | CBC; infection risk |
| Conventional DMARD | Plaquenil | Hydroxychloroquine | RA/SLE control | Eye exams for retinopathy |
| Conventional DMARD | Rheumatrex | Methotrexate | First-line RA control | CBC/LFTs; folate |
| Biologic (TNF inhibitor) | Enbrel | Etanercept | Reduce inflammation/joint damage | TB screening |
| Biologic (TNF inhibitor) | Humira | Adalimumab | Reduce inflammation/joint damage | TB/hepatitis screening |
| Biologic (anti-TNF) | Remicade | Infliximab | Reduce inflammation/joint damage | Infusion reactions |
| Chelator/older DMARD | Cuprimine/Depen | Penicillamine | Severe RA (rare) | CBC/urinalysis |
| Gold therapy (older) | Ridaura | Auranofin | RA control (rare) | CBC/renal effects |
