# Income Statement Summary — Helios Software Inc. (Quarterly, Q1 2024–Q2 2025, USD millions)

| Line item (USD millions) | Q1 2024 | Q2 2024 | Q3 2024 | Q4 2024 | Q1 2025 | Q2 2025 |
|---|---:|---:|---:|---:|---:|---:|
| Subscription & services revenue | 610 | 635 | 660 | 710 | 735 | 760 |
| License revenue | 90 | 85 | 80 | 95 | 90 | 88 |
| **Total revenue** | **700** | **720** | **740** | **805** | **825** | **848** |
| Cost of revenue | (210) | (216) | (222) | (240) | (246) | (252) |
| **Gross profit** | **490** | **504** | **518** | **565** | **579** | **596** |
| Gross margin % | 70.0% | 70.0% | 70.0% | 70.2% | 70.2% | 70.3% |
| Sales & marketing | (220) | (225) | (230) | (245) | (250) | (255) |
| Research & development | (130) | (135) | (140) | (150) | (152) | (155) |
| General & administrative | (65) | (66) | (68) | (70) | (72) | (73) |
| **Operating profit (EBIT)** | **75** | **78** | **80** | **100** | **105** | **113** |
| Depreciation & amortization | 22 | 23 | 24 | 25 | 26 | 27 |
| **EBITDA** | **97** | **101** | **104** | **125** | **131** | **140** |
| Net interest (expense)/income | (6) | (6) | (7) | (7) | (7) | (7) |
| Income tax expense | (14) | (15) | (15) | (19) | (20) | (21) |
| **Net income** | **55** | **57** | **58** | **74** | **78** | **85** |
