# Best Stocks To Buy Now  Blue-Chip List Including Dividend Yield (General Stock Selection List)

| Ticker | Company | Dividend Yield | Payout Ratio | Analyst Rating | Revenue Growth (YoY) | 5Y Total Return |
|---|---|---:|---:|---|---:|---:|
| AAPL | Apple | 0.5% | 15% | Buy | 2.1% | 215% |
| MSFT | Microsoft | 0.7% | 28% | Strong Buy | 12.4% | 310% |
| NVDA | NVIDIA | 0.0% | 2% | Buy | 125.6% | 980% |
| AMZN | Amazon | 0.0% | 0% | Buy | 11.3% | 140% |
| GOOGL | Alphabet | 0.5% | 18% | Buy | 9.7% | 180% |
| JNJ | Johnson & Johnson | 3.0% | 62% | Hold | 1.9% | 65% |
| HD | Home Depot | 2.5% | 55% | Buy | 3.2% | 190% |
| UNH | UnitedHealth | 1.3% | 27% | Buy | 8.8% | 250% |
| TSLA | Tesla | 0.0% | 0% | Hold | 15.1% | 420% |
| BRK.B | Berkshire Hathaway | 0.0% | 0% | Buy | 6.0% | 160% |
