# Need for Speed (2015 film) — Featured Car Roster

| Category | Vehicle (on-screen name) | Real-world model | Key scene / usage | Driver / character | Status in film |
| --- | --- | --- | --- | --- | --- |
| Hypercar | Koenigsegg Agera R | Koenigsegg Agera R | Opening outlaw run / setting the pace | Dino Brewster’s crew | Damaged |
| Supercar | GTA Spano | Spania GTA Spano | Highway pursuit segments | Tobey Marshall | Active |
| Supercar | Lamborghini Sesto Elemento | Lamborghini Sesto Elemento | Night convoy sequence | Dino Brewster | Active |
| Supercar | Bugatti Veyron Super Sport | Bugatti Veyron 16.4 Super Sport | Long straight / top-speed flex | Dino Brewster | Active |
| Supercar | McLaren P1 | McLaren P1 | Race-to-the-finish montage | Julia Maddon | Active |
| Supercar | Saleen S7 Twin Turbo | Saleen S7 TT | Aggressive passing / near-miss | “Monarch” (Dino’s racer) | Damaged |
| Muscle | Shelby Mustang (build car) | Ford Mustang Shelby GT500 (custom) | Build-and-reveal; final run hero car | Tobey Marshall | Active |
| Classic | 1970 Ford Mustang Fastback | 1970 Mustang Fastback | Garage / emotional backstory beats | Tobey Marshall | Active |
| Cop Car | State Police Interceptor | Ford Police Interceptor Sedan | Chases, roadblocks | Highway patrol | Active |
| Support | Tow / recovery truck | Heavy wrecker | Clearing wrecks after pileups | Road crew | Active |
