# Country-to-Currency Reference (Common Price Notation  Symbol + ISO Code)

| Region | Country/Territory | Currency (name) | Currency symbol (as shown on prices) | ISO 4217 code | Notes on common usage |
|---|---|---|---|---|---|
| North America | United States | US Dollar | $ | USD | Often written as US$ in international contexts |
| North America | Canada | Canadian Dollar | $ | CAD | Frequently CA$ to distinguish from USD |
| North America | Mexico | Mexican Peso | $ | MXN | Sometimes written as Mex$ |
| South America | Brazil | Brazilian Real | R$ | BRL | Symbol includes prefix letter |
| South America | Argentina | Argentine Peso | $ | ARS | Often AR$ to avoid ambiguity |
| Europe | United Kingdom | Pound Sterling | £ | GBP | Also appears as GBP on bank statements |
| Europe | Eurozone (e.g., Germany) | Euro | € | EUR | Symbol precedes or follows amount depending on locale |
| Europe | Switzerland | Swiss Franc | CHF | CHF | Typically shown as CHF (symbol equals code in practice) |
| Asia | Japan | Japanese Yen | ¥ | JPY | Same symbol as Chinese Yuan in some fonts |
| Asia | China | Renminbi (Yuan) | ¥ | CNY | Also shown as RMB in many invoices |
| Asia | India | Indian Rupee | ₹ | INR | Modern symbol widely used on apps/labels |
| Oceania | Australia | Australian Dollar | $ | AUD | Commonly A$ in international listings |
| Africa | South Africa | South African Rand | R | ZAR | Often shown as R before the amount |
