# Mixed Anti-infective Treatment Options for Common Infections (Fungal, Bacterial, Viral)

| Condition | Likely Etiology | First-line Drug/Product | Drug Class | Route | Notes |
|---|---|---|---|---|---|
| Vulvovaginal candidiasis | Fungal (Candida spp.) | Fluconazole | Azole antifungal | Oral | Avoid in pregnancy unless directed |
| Tinea pedis (athlete's foot) | Fungal (dermatophytes) | Terbinafine cream | Allylamine antifungal | Topical | Treat 1–4 weeks |
| Impetigo | Bacterial (Staph/Strep) | Mupirocin | Topical antibiotic | Topical | For limited lesions |
| Uncomplicated UTI | Bacterial (E. coli) | Nitrofurantoin | Antibiotic | Oral | Typical 5-day course |
| Influenza | Viral (Influenza A/B) | Oseltamivir | Antiviral | Oral | Start within 48 hours |
| HSV labialis | Viral (HSV-1) | Acyclovir | Antiviral | Oral/Topical | Shortens outbreaks |
| Pneumococcal disease prevention | Bacterial (S. pneumoniae) | PCV20 | Vaccine | IM | Routine adult vaccination option |
| Oral thrush | Fungal (Candida) | Nystatin suspension | Polyene antifungal | Oral | Swish and swallow |
| Bacterial vaginosis | Bacterial overgrowth | Metronidazole | Antibiotic | Oral/Topical | Avoid alcohol with oral therapy |
