# Clinical Features and Laboratory Findings of Selected Infectious Diseases (for diagnosis and case management)

| Disease | Typical symptoms | Incubation period | Key lab/biomarker findings | Imaging/physical findings | Common complications |
| --- | --- | --- | --- | --- | --- |
| Influenza | Fever, myalgia, cough, sore throat | 1–4 days | Leukopenia; PCR positive for influenza A/B | Pharyngeal erythema | Pneumonia, myocarditis |
| Dengue fever | High fever, retro-orbital pain, rash | 4–10 days | Thrombocytopenia; rising hematocrit; NS1/IgM positive | Petechiae; positive tourniquet test | Shock, hemorrhage |
| Cholera | Profuse watery diarrhea, vomiting | 12 h–5 days | Stool culture positive for *V. cholerae*; hypokalemia | Severe dehydration signs | Acute kidney injury |
| Leptospirosis | Fever, headache, calf tenderness | 2–30 days | Elevated bilirubin/creatinine; MAT/IgM positive | Conjunctival suffusion | Weil’s disease |
| Rabies | Paresthesia at bite site, hydrophobia | Weeks–months | DFA positive (skin biopsy); neutralizing antibodies | Aerophobia; agitation | Encephalitis, death |
| Anthrax (cutaneous) | Painless papule → black eschar | 1–7 days | Gram-positive rods; PCR positive for *B. anthracis* | Eschar with surrounding edema | Sepsis |
| Legionellosis | Fever, cough, diarrhea, confusion | 2–10 days | Hyponatremia; urinary antigen positive | Lobar infiltrate | Respiratory failure |
| Viral hepatitis A | Fatigue, nausea, jaundice | 15–50 days | Elevated ALT/AST; anti-HAV IgM positive | Hepatomegaly | Fulminant hepatitis |
| Malaria | Cyclic fever, chills, anemia | 7–30 days | Parasitemia on smear; low platelets | Splenomegaly | Cerebral malaria |
| Tuberculosis | Chronic cough, weight loss, night sweats | Weeks–years | IGRA/TST positive; AFB smear/culture positive | Cavitary lesions | Hemoptysis, dissemination |
