# Budget Laptops and Netbooks (2007–2009) — Processor Listed Mainly by Clock Speed

| Laptop model | Segment | CPU (as listed) | Notes |
| --- | --- | --- | --- |
| Asus Eee PC 701 | Netbook | 900 MHz | CPU family not specified |
| Acer Aspire One A110 | Netbook | 1.6 GHz | Marketed as “Intel Inside” |
| Dell Inspiron Mini 9 | Netbook | 1.6 GHz | No chip name provided |
| HP Mini 1000 | Netbook | 1.60 GHz | CPU model omitted |
| Lenovo IdeaPad S10 | Netbook | 1.6 GHz | “Low power processor” |
| MSI Wind U100 | Netbook | 1.6 GHz | Only frequency shown |
| Toshiba Satellite L305 | Laptop | 2.0 GHz | No CPU family listed |
| Sony VAIO NR | Laptop | 2.1 GHz | “Dual-core” not clarified |
| Gateway LT Series | Netbook | 1.6 GHz | CPU not identified |
| Samsung NC10 | Netbook | 1.60 GHz | No chipset/CPU family |
| ASUS UL Series | Laptop | 1.3 GHz | ULV implied, not named |
