# Experiment, Understanding Tables on the Web - Microsoft Research

| companies | Blackberry | Fujitsu Siemens | Others | Altria Group | Walt Disney Co | Marlboro | Linux | Deere | Alpine | Forest Laboratories | Bank of America Corp | HP/Compaq | Baxter International | Valero Energy | Altria | Guardian | PSA Peugeot Citroën | U.S. Bancorp | Emirates | Nippon Telegraph and Telephone |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| countries | Saint Vincent and the Grenadines | Cote D'ivoire | Korea, South | Macau SAR | China, Peoples Republic of | Democratic Republic of the Congo | Democratic People's Republic of Korea | Khmer Republic | World Total | Middle East - North Africa | D. R. Congo | Republic of the Congo | Tajikstan | C?te d'Ivoire | Norfolk Island | Bosnia/ Herzegovina | Kirghyzstan | Former Yugoslav Republic of Macedonia | Serbia and Montenegro | Serbia & Montenegro |
| currencies | SAR | MXD | Currency | BND | KRW | HRK | EGP | ILS | Total | Others | JPN | KWD | AUS | SIT | BAM | BGN | JPY100 | Zar | CFA | TWI |
| file formats | M2TS | FH9 | OpenEXR | HDP | XBM | XWD | WSQ | PDF Reader | JPE | Photoshop PSD | DVR-MS | M4V | Total | VCD | tar | Get | ABC | WAV, WAVE | Unknown | EXIF |
| films | X-Files | E.T.: The Extra-Terrestrial | Snow White and the Seven Dwarfs | The Lord of the Rings: The Return of the King | L.A. Confidential | Dial M for Murder | Mission: Impossible | The Da Vinci Code and Angels & Demons , often called the Dan Brown saga | Terminator 2: Judgment Day | All Quiet on the Western Front | A Simple Plan | Aliens | The Incredible Hulk | Good Morning, Vietnam | One Flew Over the Cuckoo's Nest | Private Benjamin | Affliction | The Hunchback of Notre Dame | On Golden Pond | Monsters, Inc |
| football clubs | Stoke City | Fulham | West Bromwich Albion | Charlton Athletic | Middlesbrough | England | Sevilla | Portsmouth | Man Utd | Bolton | Wigan Athletic | Ipswich Town | Man City | Swindon Town | Burnley | Birmingham | Wolverhampton Wanderers | Valencia | Lyon | Fiorentina |
| fruits | Lime | Grapes | Fig | Date | Grape | Star Fruit | Tomato | Cucumber | Gooseberry | Dates | Pink Grape | Cocktail | Other Fruits | Chashwanut | Areconut | Litchi | Custard apple | Lytchee | Mosambi | Passion Fruit |
| guitarists | Joe Perry | Brian Setzer Orchestra | Radwan Hoteit |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| holidays | Martin Luther King, Jr. Day | Daylight Savings Ends | Daylight Savings Begins | Day After Thanksgiving | Day after Thanksgiving | Club Employee Holiday Celebration | In observance of Independence Day | Martin Luther King Jr Day | Martin Luther King Jr. Birthday | Martin Luther King, Jr Day | Christmas Holiday | New Year's Eve Day | Winter Holiday | M. L. King Jr's Birthday | Dr. Martin Luther King, Jr. Day | Martin Luther King Jr.'s Birthday | Independance Day | Inauguration Day | Martin Luther King, Jr.'s Birthday | Lincoln's Birthday |
| infectious diseases | Tuberculosis | Rabies | Japanese Encephalitis | Tetanus-diphtheria | Tetanus | Meningitis | Varicella |  |  |  |  |  |  |  |  |  |  |  |  |  |
