# Academy Awards Ceremonies (Selected Years)  Ceremony Date, Venue, and City

| Ceremony (Edition) | Ceremony Year | Ceremony Date | Venue | City | State/Country | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| 90th Academy Awards | 2018 | March 4, 2018 | Dolby Theatre | Hollywood, Los Angeles | United States | Continued long-term residency at Hollywood & Highland complex |
| 91st Academy Awards | 2019 | February 24, 2019 | Dolby Theatre | Hollywood, Los Angeles | United States | Ceremony run-time controversies prompted pacing changes |
| 92nd Academy Awards | 2020 | February 9, 2020 | Dolby Theatre | Hollywood, Los Angeles | United States | Final pre-pandemic ceremony |
| 93rd Academy Awards | 2021 | April 25, 2021 | Union Station (main hub) | Los Angeles | United States | Multi-site staging with pandemic protocols |
| 93rd Academy Awards (satellite site) | 2021 | April 25, 2021 | Dolby Theatre (satellite) | Hollywood, Los Angeles | United States | Limited in-person presence compared to typical years |
| 94th Academy Awards | 2022 | March 27, 2022 | Dolby Theatre | Hollywood, Los Angeles | United States | Return toward full-scale audience production |
| 95th Academy Awards | 2023 | March 12, 2023 | Dolby Theatre | Hollywood, Los Angeles | United States | Continued at the same venue; broadcast logistics stabilized |
| 96th Academy Awards | 2024 | March 10, 2024 | Dolby Theatre | Hollywood, Los Angeles | United States | Example of modern “single-venue” era |
| 97th Academy Awards | 2025 | (scheduled) | Dolby Theatre | Hollywood, Los Angeles | United States | Forward-looking entry to show venue continuity over time |
