# Ibanez Signature & Genre-leaning Models (Spec Snapshot)

| Model | Artist / Positioning | Strings | Pickup configuration | Body material | Neck construction | Fingerboard | Bridge type | Notable distinguishing spec |
|---|---|---:|---|---|---|---|---|---|
| JEM7VP | Steve Vai Signature | 6 | H-S-H | Alder | Bolt-on | Ebony | Double-locking tremolo | "Monkey Grip" handle / high-performance lead focus |
| PIA3761 | Steve Vai Signature | 6 | H-S-H | Alder | Bolt-on | Rosewood | Double-locking tremolo | Premium carve/top-tier appointments |
| JIVA10 | Nita Strauss Signature | 6 | H-H | Nyatoh | Bolt-on | Ebony | Floating tremolo | Fast neck profile for modern rock/metal |
| TOD10 | Tim Henson Signature | 6 | H-H | Basswood | Bolt-on | Ebony | Fixed bridge | Designed for articulate clean-to-progressive tones |
| PM200 | Pat Metheny Signature | 6 | H (neck) | Spruce top / Maple back & sides | Set-in | Ebony | Fixed bridge | Full hollowbody jazz voicing |
| GB10 | George Benson Signature | 6 | H-H | Spruce top / Maple back & sides | Set-in | Ebony | Floating bridge & tailpiece | Compact hollowbody for smooth jazz leads |
| FRH10N | Hybrid nylon-string | 6 (nylon) | Piezo (under-saddle) | Sapele (thin body) | Set-in | Walnut | Classical-style fixed bridge | Stage-friendly thin-body nylon concept |
| M80M | Meshuggah Signature | 8 | H-H | Ash | Bolt-on (maple/walnut) | Rosewood | Fixed bridge | Extra-long scale aimed at low tunings |
| RGDMS8 | Modern metal / multiscale | 8 | H-H | Nyatoh | Bolt-on | Ebony | Fixed bridge | Multiscale layout for tight low strings |
| Q54 | Q / Headless modern | 6 | H-H | Nyatoh | Bolt-on | Roasted maple | Headless fixed bridge | Headless lightweight design |
| AS93 | Artcore semi-hollow | 6 | H-H | Maple | Set-in | Rosewood | Fixed bridge (stop-tail style) | Semi-hollow for blues/jazz/rock versatility |
