# Academy Award Recognition by Film Franchise Installment (Selected Series vs Nominations and Wins)

| Franchise | Film (Installment) | Release Year | Oscar Nominations (Count) | Oscar Wins (Count) | Key Nominated Categories (Examples) | Key Win Categories (Examples) |
|---|---|---:|---:|---:|---|---|
| The Lord of the Rings | The Fellowship of the Ring (I) | 2001 | 13 | 4 | Best Picture; Director; Adapted Screenplay | Cinematography; VFX; Makeup; Original Score |
| The Lord of the Rings | The Two Towers (II) | 2002 | 6 | 2 | Best Picture; Film Editing | Sound Editing; VFX |
| The Lord of the Rings | The Return of the King (III) | 2003 | 11 | 11 | Best Picture; Director; Adapted Screenplay | Best Picture; Director; multiple crafts |
| The Dark Knight Trilogy | Batman Begins (I) | 2005 | 1 | 0 | Cinematography | — |
| The Dark Knight Trilogy | The Dark Knight (II) | 2008 | 8 | 2 | Best Picture; Director (snub not listed); Supporting Actor | Supporting Actor; Sound Editing |
| The Dark Knight Trilogy | The Dark Knight Rises (III) | 2012 | 1 | 0 | Visual Effects | — |
| Toy Story | Toy Story (I) | 1995 | 3 | 1 | Original Screenplay; Original Song | Special Achievement (Animation) |
| Toy Story | Toy Story 2 (II) | 1999 | 1 | 0 | Original Song | — |
| Toy Story | Toy Story 3 (III) | 2010 | 5 | 2 | Best Picture; Adapted Screenplay | Animated Feature; Original Song |
| Toy Story | Toy Story 4 (IV) | 2019 | 2 | 1 | Animated Feature; Original Song | Animated Feature |
