# 1999-00 Washington Capitals - NHL team profile page from WhatifSports

| Name | James Black | Peter Bondra | Jan Bulis | Ulf Dahlen | Mike Eagles | Sergei Gonchar | Jeff Halpern | Calle Johansson | Ken Klee | Steve Konowalchuk | Jim McKenzie | Glen Metropolit | Dmitri Mironov | Joe Murphy | Andrei Nikolishin | Adam Oates | Joe Reekie | Joe Sacco | Chris Simon | Jaroslav Svejkovsky | Alexei Tezikov | Jeff Toms | Brendan Witt | Terry Yake | Richard Zednik |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| POS | LW | RW | C | RW | C | D | C | D | D | C | LW | RW | D | RW | C | C | D | RW | LW | RW | D | LW | D | C | LW |
| GP | 49 | 62 | 56 | 75 | 25 | 73 | 79 | 82 | 80 | 82 | 30 | 30 | 73 | 29 | 76 | 82 | 59 | 79 | 75 | 23 | 23 | 20 | 77 | 35 | 69 |
| PGP | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 |
| GLS | 8 | 21 | 9 | 15 | 2 | 18 | 18 | 7 | 7 | 16 | 1 | 6 | 3 | 5 | 11 | 15 | 0 | 7 | 29 | 1 | 1 | 1 | 1 | 6 | 19 |
| AST | 9 | 17 | 22 | 23 | 0 | 36 | 11 | 25 | 13 | 27 | 2 | 13 | 19 | 8 | 14 | 56 | 7 | 16 | 20 | 2 | 1 | 2 | 7 | 5 | 16 |
| PTS | 17 | 38 | 31 | 38 | 2 | 54 | 29 | 32 | 20 | 43 | 3 | 19 | 22 | 13 | 25 | 71 | 7 | 23 | 49 | 3 | 2 | 3 | 8 | 11 | 35 |
| +/- | -1 | 5 | 7 | 11 | -7 | 26 | 21 | 13 | 8 | 19 | 0 | 5 | 7 | 8 | 6 | 13 | 21 | 7 | 11 | -7 | -2 | -1 | 5 | 2 | 6 |
| PIM | 6 | 30 | 30 | 8 | 15 | 52 | 39 | 24 | 79 | 80 | 16 | 4 | 28 | 53 | 28 | 14 | 50 | 50 | 146 | 2 | 2 | 4 | 114 | 12 | 54 |
| S | 71 | 187 | 92 | 106 | 13 | 181 | 108 | 138 | 113 | 146 | 10 | 57 | 99 | 50 | 98 | 93 | 32 | 117 | 201 | 18 | 18 | 18 | 64 | 29 | 179 |
| S% | 11.27 | 11.23 | 9.78 | 14.15 | 15.38 | 9.94 | 16.67 | 5.07 | 6.19 | 10.96 | 10.00 | 10.53 | 3.03 | 10.00 | 11.22 | 16.13 | 0.00 | 5.98 | 14.43 | 5.56 | 5.56 | 5.56 | 1.56 | 20.69 | 10.61 |
| DEF | 65 | 67 | 69 | 87 | 54 | 80 | 82 | 87 | 65 | 76 | 62 | 71 | 70 | 57 | 69 | 92 | 78 | 68 | 58 | 59 | 64 | 64 | 57 | 65 | 65 |
| Salary | $1,727,474 | $3,365,720 | $2,211,192 | $4,717,449 | $529,265 | $6,527,757 | $4,934,234 | $6,176,982 | $3,311,299 | $3,987,653 | $470,501 | $1,403,413 | $3,551,563 | $843,039 | $2,792,012 | $6,283,383 | $2,559,189 | $1,783,658 | $3,977,899 | $180,139 | $766,364 | $239,361 | $1,525,096 | $2,006,338 | $3,132,722 |
