# Nutrition Facts — Assorted Cereals (layout by cereal section, nutrients as rows)

| Cereal | Nutrient | Amount per serving |
|---|---|---:|
| Rolled Oats | Calories | 150 kcal |
| Rolled Oats | Protein | 5 g |
| Rolled Oats | Total Fat | 3 g |
| Rolled Oats | Carbohydrates | 27 g |
| Rolled Oats | Fiber | 4 g |
| Rolled Oats | Sugar | 1 g |
| Corn Flakes | Calories | 120 kcal |
| Corn Flakes | Protein | 2 g |
| Corn Flakes | Total Fat | 0.5 g |
| Corn Flakes | Carbohydrates | 26 g |
| Corn Flakes | Fiber | 1 g |
| Corn Flakes | Sodium | 200 mg |
| Bran Flakes | Calories | 130 kcal |
| Bran Flakes | Protein | 4 g |
| Bran Flakes | Fiber | 7 g |
| Bran Flakes | Sugar | 6 g |
| Rice Cereal (puffed) | Calories | 90 kcal |
| Rice Cereal (puffed) | Carbohydrates | 20 g |
| Rice Cereal (puffed) | Sodium | 60 mg |
