# External Portable Drive Models and Exact Capacity SKUs (HDD SSD)

| Brand | Model | Drive Type | Interface | Exact Capacity SKUs Available | Notes |
| --- | --- | --- | --- | --- | --- |
| Samsung | T7 Shield | Portable SSD | USB 3.2 Gen 2 (USB-C) | 1 TB; 2 TB; 4 TB | Ruggedized portable SSD line |
| SanDisk | Extreme Portable SSD V2 | Portable SSD | USB 3.2 Gen 2 (USB-C) | 500 GB; 1 TB; 2 TB; 4 TB | Often sold in multiple colors |
| Seagate | Expansion Portable | Portable HDD | USB 3.0 | 1 TB; 2 TB; 4 TB; 5 TB | Bus-powered HDD |
| Western Digital | WD My Passport | Portable HDD | USB 3.2 Gen 1 | 1 TB; 2 TB; 4 TB; 5 TB | Consumer portable HDD family |
| Toshiba | Canvio Basics | Portable HDD | USB 3.2 Gen 1 | 1 TB; 2 TB; 4 TB | Entry-level portable HDD |
| LaCie | Rugged Mini | Portable HDD | USB 3.0 (USB-C via adapter on some bundles) | 1 TB; 2 TB; 4 TB; 5 TB | Rugged design for travel |
| Kingston | XS2000 | Portable SSD | USB 3.2 Gen 2x2 (USB-C) | 500 GB; 1 TB; 2 TB; 4 TB | High-speed USB 20Gbps-capable |
| Crucial | X9 Pro | Portable SSD | USB 3.2 Gen 2 (USB-C) | 1 TB; 2 TB; 4 TB | Compact portable SSD |
| ADATA | SE800 | Portable SSD | USB 3.2 Gen 2 (USB-C) | 512 GB; 1 TB; 2 TB | Water/dust resistant on many editions |
