# Food Type Lookup by Store Aisle (Hierarchical Rows; Foods Not as Columns)

| Section | Aisle | Item | Food type | Shelf notes |
| --- | --- | --- | --- | --- |
| Produce | 1 | Avocado | Fruit | ripen at room temp |
| Produce | 1 | Broccoli | Vegetable | keep refrigerated |
| Pantry | 4 | Rice (white) | Grain | store dry |
| Pantry | 4 | Quinoa | Pseudograin | rinse before cooking |
| Bakery | 7 | Cake (vanilla) | Dessert | contains wheat/eggs |
| Frozen | 9 | Ice cream (milk-based) | Dairy dessert | keep frozen |
| Snacks | 10 | Potato chips | Snack | high sodium |
| Pasta | 5 | Soba noodles | Noodle | may contain wheat |
| Legumes | 6 | Lentils | Legume | soak optional |
| Confections | 11 | Chocolate bar | Confection | may contain nuts |
