# PGA Leaderboard (Social Media Engagement Ranking, Not On-Course Standings)

| Rank | Account/Page | Platform | Followers | Engagement Rate | Topic Tag |
|---:|---|---|---:|---:|---|
| 1 | PGA TOUR | Instagram | 3,200,000 | 2.8% | Golf |
| 2 | The Masters | Instagram | 2,900,000 | 3.1% | Major |
| 3 | Ryder Cup | X (Twitter) | 1,100,000 | 1.9% | Team Event |
| 4 | DP World Tour | Instagram | 850,000 | 2.2% | Tour |
| 5 | Golf Channel | Facebook | 2,100,000 | 0.8% | Media |
| 6 | Golf Digest | Instagram | 1,700,000 | 1.4% | Media |
| 7 | Topgolf | Instagram | 1,000,000 | 1.6% | Entertainment |
| 8 | Callaway Golf | Instagram | 1,900,000 | 0.9% | Equipment |
| 9 | Titleist | Instagram | 1,300,000 | 0.7% | Equipment |
| 10 | PGA Championship | Instagram | 1,500,000 | 1.1% | Major |
| 11 | USGA | X (Twitter) | 700,000 | 0.6% | Governing Body |
| 12 | LIV Golf | Instagram | 1,200,000 | 1.0% | Tour |
