# Olympus Four Thirds System Lenses Commonly Paired with Olympus Digital SLR Bodies

| Lens model | Mount | Focal length | Max aperture | Lens type | Typical use | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Zuiko Digital 14-54mm | Four Thirds | 14–54mm | f/2.8–3.5 | Zoom | General purpose | Frequently bundled with Olympus DSLRs |
| Zuiko Digital 12-60mm SWD | Four Thirds | 12–60mm | f/2.8–4.0 | Zoom | Travel | SWD focusing motor |
| Zuiko Digital 14-42mm | Four Thirds | 14–42mm | f/3.5–5.6 | Zoom | Kit lens | Multiple revisions exist |
| Zuiko Digital 40-150mm | Four Thirds | 40–150mm | f/4.0–5.6 | Zoom | Telephoto | Lightweight option |
| Zuiko Digital 50-200mm | Four Thirds | 50–200mm | f/2.8–3.5 | Zoom | Sports/wildlife | Often used with pro bodies |
| Zuiko Digital 7-14mm | Four Thirds | 7–14mm | f/4.0 | Ultra-wide zoom | Landscape | Distinctive bulbous front |
| Zuiko Digital 11-22mm | Four Thirds | 11–22mm | f/2.8–3.5 | Wide zoom | Architecture | Popular wide option |
| Zuiko Digital 50mm Macro | Four Thirds | 50mm | f/2.0 | Prime macro | Macro | 1:2 magnification |
| Zuiko Digital 35mm Macro | Four Thirds | 35mm | f/3.5 | Prime macro | Close-up | 1:1 magnification |
| Zuiko Digital 25mm Pancake | Four Thirds | 25mm | f/2.8 | Prime | Street | Compact “pancake” |
| Zuiko Digital 150mm | Four Thirds | 150mm | f/2.0 | Prime | Sports | Pro-grade |
| Zuiko Digital 300mm | Four Thirds | 300mm | f/2.8 | Prime | Wildlife | Large, high-end lens |
