# Hormone Signaling Pathways and Downstream Gene Targets (Molecular View)

| Hormone | Receptor Type | Key Second Messenger/Pathway | Representative Target Genes/Proteins | Cell/Tissue Model |
|---|---|---|---|---|
| Epinephrine | GPCR (β-adrenergic) | cAMP → PKA | CREB, PEPCK, glycogen phosphorylase | Hepatocyte |
| Vasopressin (ADH) | GPCR (V2) | cAMP → PKA | AQP2 trafficking proteins | Collecting duct cell |
| Angiotensin II | GPCR (AT1) | PLC → IP3/DAG → PKC | c-FOS, endothelin-1 | Vascular smooth muscle |
| Insulin | RTK | PI3K → AKT | GLUT4 translocation machinery | Skeletal myocyte |
| Glucagon | GPCR | cAMP → PKA | PGC-1α, PEPCK | Hepatocyte |
| Cortisol | Nuclear receptor | GRE-mediated transcription | GILZ, FKBP5 | Immune cell |
| Thyroid hormone (T3) | Nuclear receptor | TR/RXR binding to TRE | UCP3, Na+/K+ ATPase subunits | Cardiomyocyte |
| Estrogen (E2) | Nuclear receptor (ERα/ERβ) | ERE transcription; MAPK crosstalk | PR, cyclin D1 | Breast epithelial cell |
| Parathyroid hormone (PTH) | GPCR (PTH1R) | cAMP/PKA and PLC | RANKL, CYP27B1 | Osteoblast |
| Growth hormone (GH) | Cytokine receptor | JAK2 → STAT5 | IGF1, SOCS2 | Hepatocyte |
