# P10 - Annual Employee Statistics by Labor Category 2010 | Bureau of Transportation Statistics

| Carrier Name | ABX Air, Inc. | Aerodynamics Inc. | Air Transport International | Air Transport International | Air Wisconsin Airlines Corp | AirTran Airways Corporation | AirTran Airways Corporation | Alaska Airlines Inc. | Alaska Airlines Inc. | Allegiant Air | Aloha Air Cargo | American Airlines Inc. | American Airlines Inc. | American Airlines Inc. | American Airlines Inc. | American Eagle Airlines Inc. | American Eagle Airlines Inc. | Amerijet International | Amerijet International | Asia Pacific | Astar Air Cargo Inc. | Astar Air Cargo Inc. | Atlantic Southeast Airlines | Atlantic Southeast Airlines | Atlas Air Inc. | Atlas Air Inc. | Avjet Corporation | Capital Cargo International | Capital Cargo International | Centurion Cargo Inc. | Colgan Air | Comair Inc. | Compass Airlines | Continental Air Lines Inc. | Continental Air Lines Inc. | Continental Air Lines Inc. | Continental Air Lines Inc. | Continental Micronesia | Delta Air Lines Inc. | Delta Air Lines Inc. | Delta Air Lines Inc. | Delta Air Lines Inc. | Evergreen International Inc. | Evergreen International Inc. | Executive Airlines | Executive Airlines | ExpressJet Airlines Inc. | ExpressJet Airlines Inc. | Federal Express Corporation | Federal Express Corporation | Federal Express Corporation | Federal Express Corporation | Florida West Airlines Inc. | Florida West Airlines Inc. | Frontier Airlines Inc. | GoJet Airlines, LLC d/b/a United Express | Hawaiian Airlines Inc. | Hawaiian Airlines Inc. | Horizon Air | JetBlue Airways | JetBlue Airways | Kalitta Air LLC | Kalitta Air LLC | Lynden Air Cargo Airlines | Lynx Aviation d/b/a Frontier Airlines | Mesa Airlines Inc. | Mesaba Airlines | Miami Air International | Miami Air International | North American Airlines | Northern Air Cargo Inc. | Omni Air Express | Omni Air Express | Pinnacle Airlines Inc. | Polar Air Cargo Airways | Polar Air Cargo Airways | Polar Air Cargo Airways | PSA Airlines Inc. | Republic Airlines | Ryan International Airlines | Ryan International Airlines | Shuttle America Corp. | SkyWest Airlines Inc. | Southern Air Inc. | Southwest Airlines Co. | Spirit Air Lines | Spirit Air Lines | Sun Country Airlines d/b/a MN Airlines | Sun Country Airlines d/b/a MN Airlines | Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo | Tradewinds Airlines | United Air Lines Inc. | United Air Lines Inc. | United Air Lines Inc. | United Air Lines Inc. | United Parcel Service | United Parcel Service | United Parcel Service | United Parcel Service | US Airways Inc. | US Airways Inc. | US Airways Inc. | USA Jet Airlines Inc. | Virgin America | World Airways Inc. |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Entity | Domestic | Domestic | Domestic | Atlantic | Domestic | Domestic | Latin | Domestic | Latin | Domestic | Domestic | Domestic | Latin | Atlantic | Pacific | Domestic | Latin | Domestic | Latin | International | Domestic | Latin | Domestic | Latin | International | Domestic | Domestic | Domestic | International | Latin | Domestic | Domestic | Domestic | Domestic | Atlantic | Latin | Pacific | Pacific | Atlantic | Domestic | Latin | Pacific | Pacific | Domestic | Domestic | Latin | Domestic | Latin | Domestic | Atlantic | Pacific | Latin | Domestic | International | Domestic | Domestic | Domestic | Pacific | Domestic | Domestic | Latin | Domestic | International | Domestic | Domestic | Domestic | Domestic | Domestic | International | International | Domestic | Domestic | International | Domestic | Pacific | Domestic | Atlantic | Domestic | Domestic | Domestic | International | Domestic | Domestic | International | Domestic | Domestic | Latin | Domestic | International | Domestic | International | Domestic | Atlantic | Latin | Pacific | Domestic | Atlantic | Pacific | Latin | Domestic | Atlantic | Latin | Domestic | Domestic | International |
| General Manager | 29 | 10 | 7 | 7 | 215 | 70 | 0 | 14 | 1 | 18 | 24 | 33 | 10 | 8 | 3 | 806 | 9 | 1 | 9 | 9 | 3 | 2 | 75 | 2 | 164 | 23 | 8 | 3 | 2 | 17 | 4 | 7 | 0 | 42 | 0 | 0 | 0 | 1 | 97 | 322 | 40 | 35 | 15 | 2 | 126 | 1 | 87 | 3 | 698 | 814 | 870 | 71 | 1 | 12 | 50 | 0 | 39 | 7 | 2 | 34 | 0 | 0 | 18 | 5 | 39 | 24 | 10 | 10 | 5 | 12 | 10 | 1 | 12 | 17 | 7 | 3 | 1 | 5 | 18 | 8 | 45 | 11 | 6 | 35 | 1,008 | 281 | 17 | 27 | 6 | 15 | 9 | 35 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 174 | 17 | 16 | 4 | 20 | 20 |
| Pilots & Co-Pilots | 257 | 4 | 66 | 53 | 665 | 1,606 | 16 | 1,173 | 45 | 328 | 24 | 4,931 | 1,475 | 1,115 | 413 | 2,093 | 23 | 8 | 72 | 16 | 78 | 52 | 1,502 | 31 | 485 | 68 | 56 | 67 | 42 | 50 | 545 | 1,051 | 362 | 2,431 | 850 | 662 | 256 | 0 | 2,103 | 6,988 | 858 | 752 | 187 | 21 | 323 | 4 | 3,183 | 98 | 2,369 | 671 | 1,057 | 96 | 3 | 25 | 674 | 240 | 366 | 70 | 671 | 1,596 | 232 | 2 | 230 | 51 | 51 | 749 | 866 | 56 | 31 | 175 | 29 | 25 | 208 | 1,223 | 126 | 48 | 10 | 419 | 774 | 24 | 141 | 534 | 2,565 | 391 | 5,564 | 484 | 0 | 109 | 24 | 43 | 43 | 3,869 | 774 | 221 | 663 | 1,579 | 373 | 588 | 157 | 3,344 | 320 | 303 | 63 | 428 | 458 |
| Other Flight Personnel | 35 | 9 | 24 | 16 | 0 | 0 | 0 | 2,401 | 92 | 41 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 41 | 3 | 34 | 23 | 0 | 0 | 49 | 7 | 1 | 20 | 13 | 11 | 317 | 0 | 316 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 20 | 2 | 0 | 0 | 0 | 0 | 108 | 39 | 48 | 4 | 0 | 0 | 0 | 255 | 0 | 0 | 528 | 0 | 0 | 1 | 91 | 28 | 0 | 1 | 0 | 0 | 0 | 7 | 1 | 6 | 50 | 680 | 0 | 0 | 0 | 18 | 0 | 9 | 54 | 0 | 142 | 0 | 0 | 19 | 0 | 0 | 0 | 15 | 14 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 19 | 563 | 10 |
| Passenger/ General Services & Administration | 0 | 0 | 0 | 18 | 307 | 1,993 | 20 | 33 | 1 | 403 | 0 | 7,889 | 3,108 | 2,950 | 971 | 1,252 | 14 | 6 | 52 | 0 | 0 | 0 | 961 | 20 | 97 | 14 | 15 | 0 | 0 | 0 | 0 | 645 | 0 | 4,937 | 2,631 | 756 | 181 | 287 | 3,593 | 11,936 | 1,465 | 1,285 | 0 | 0 | 304 | 3 | 2,130 | 66 | 0 | 0 | 0 | 0 | 0 | 0 | 1,546 | 0 | 898 | 170 | 10 | 1,828 | 265 | 0 | 0 | 0 | 88 | 607 | 538 | 106 | 59 | 297 | 0 | 40 | 330 | 0 | 1 | 1 | 0 | 265 | 802 | 42 | 240 | 487 | 603 | 0 | 8,755 | 679 | 0 | 152 | 33 | 1 | 0 | 11,223 | 678 | 196 | 690 | 0 | 0 | 0 | 0 | 5,886 | 564 | 532 | 41 | 2 | 509 |
| Maintenance | 161 | 2 | 40 | 45 | 184 | 374 | 1 | 630 | 24 | 237 | 62 | 8,865 | 2,145 | 1,267 | 344 | 1,105 | 12 | 7 | 62 | 12 | 27 | 18 | 774 | 16 | 69 | 10 | 22 | 16 | 10 | 73 | 221 | 189 | 32 | 1,892 | 1,131 | 542 | 312 | 106 | 1,438 | 4,777 | 586 | 514 | 63 | 7 | 194 | 2 | 1,099 | 34 | 1,176 | 622 | 774 | 93 | 0 | 2 | 245 | 16 | 250 | 48 | 529 | 487 | 71 | 2 | 313 | 27 | 42 | 377 | 357 | 36 | 21 | 138 | 33 | 21 | 171 | 414 | 2 | 1 | 0 | 116 | 270 | 0 | 74 | 176 | 1,116 | 159 | 1,645 | 157 | 0 | 44 | 10 | 96 | 6 | 3,662 | 221 | 64 | 225 | 1,040 | 246 | 387 | 103 | 2,974 | 285 | 269 | 44 | 132 | 160 |
| Aircraft & Traffic Handling Group 1 | 2 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 278 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 38 | 15 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 24 | 0 | 0 | 0 | 0 | 0 | 0 | 74 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 13 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 58 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 13 | 0 | 0 |
| General Aircraft & Traffic Handling | 5 | 0 | 23 | 10 | 19 | 1,185 | 12 | 302 | 12 | 0 | 0 | 149 | 32 | 10 | 2 | 1,571 | 17 | 9 | 78 | 0 | 5 | 3 | 63 | 1 | 0 | 0 | 0 | 0 | 0 | 64 | 0 | 197 | 3 | 0 | 0 | 0 | 0 | 0 | 670 | 2,226 | 273 | 240 | 0 | 0 | 351 | 4 | 75 | 2 | 276 | 628 | 799 | 57 | 0 | 4 | 47 | 1 | 269 | 51 | 103 | 86 | 19 | 1 | 93 | 0 | 12 | 10 | 15 | 17 | 9 | 26 | 0 | 2 | 16 | 46 | 0 | 0 | 0 | 33 | 42 | 4 | 26 | 33 | 2,303 | 0 | 6,119 | 0 | 0 | 115 | 25 | 0 | 0 | 657 | 40 | 11 | 40 | 96 | 23 | 36 | 9 | 4,902 | 470 | 443 | 0 | 6 | 56 |
| Aircraft Control | 15 | 0 | 0 | 0 | 30 | 76 | 0 | 218 | 8 | 26 | 7 | 142 | 31 | 9 | 2 | 0 | 0 | 1 | 6 | 0 | 8 | 5 | 70 | 1 | 13 | 2 | 0 | 0 | 0 | 4 | 54 | 72 | 54 | 81 | 16 | 17 | 2 | 7 | 114 | 377 | 46 | 41 | 0 | 0 | 0 | 0 | 79 | 2 | 62 | 756 | 289 | 14 | 0 | 0 | 0 | 19 | 77 | 15 | 63 | 144 | 21 | 1 | 58 | 0 | 0 | 73 | 65 | 8 | 5 | 50 | 0 | 4 | 36 | 121 | 6 | 2 | 0 | 17 | 0 | 4 | 26 | 0 | 106 | 51 | 282 | 0 | 0 | 25 | 5 | 0 | 0 | 139 | 8 | 2 | 9 | 60 | 14 | 22 | 6 | 136 | 13 | 12 | 0 | 32 | 70 |
