# English Football Clubs and Their Home Cities (Selected Premier League & EFL Teams)

| League Tier | Club | Home City | Stadium | Notes |
|---|---|---|---|---|
| Premier League | Manchester City | Manchester | Etihad Stadium | Based in east Manchester |
| Premier League | Manchester United | Manchester | Old Trafford | Stadium located in Trafford (Greater Manchester) |
| Premier League | Liverpool | Liverpool | Anfield | Merseyside club |
| Premier League | Everton | Liverpool | Goodison Park | Merseyside derby rival |
| Premier League | Arsenal | London | Emirates Stadium | North London |
| Premier League | Chelsea | London | Stamford Bridge | West London |
| Premier League | Tottenham Hotspur | London | Tottenham Hotspur Stadium | North London |
| Championship | Leeds United | Leeds | Elland Road | West Yorkshire |
| Championship | Sunderland | Sunderland | Stadium of Light | Tyne and Wear |
| Championship | Cardiff City | Cardiff | Cardiff City Stadium | Wales |
| League One | Charlton Athletic | London | The Valley | Southeast London |
| League Two | Gillingham | Gillingham | Priestfield Stadium | Kent |
| League Two | Carlisle United | Carlisle | Brunton Park | Cumbria |
