# European National Capitals and Administrative Facts (Population, Country Code, Government Seat)

| Country | Capital | ISO Code | Population (metro) | Government type | Notes |
|---|---|---|---:|---|---|
| France | Paris | FR | 12,400,000 | Semi-presidential republic | Seat of the National Assembly |
| Germany | Berlin | DE | 4,800,000 | Federal parliamentary republic | City-state (Bundesland) |
| Italy | Rome | IT | 4,300,000 | Parliamentary republic | Capital since 1871 |
| Spain | Madrid | ES | 6,700,000 | Parliamentary monarchy | Hosts royal palace |
| Portugal | Lisbon | PT | 2,900,000 | Semi-presidential republic | Largest city in country |
| Austria | Vienna | AT | 2,900,000 | Federal republic | City-state |
| Poland | Warsaw | PL | 3,100,000 | Parliamentary republic | Masovian seat |
| Sweden | Stockholm | SE | 2,400,000 | Constitutional monarchy | County seat |
| Greece | Athens | GR | 3,600,000 | Parliamentary republic | Attica region seat |
