# Science Discovery Metrics by Country (R&D and Output Indicators)

| Country/Region | Year | R&D Spending (% of GDP) | Researchers (per million) | Patents Filed (approx.) | Nobel Prizes (cumulative) | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| United States | 2020 | 3.4 | 4,300 | 600,000 | 390+ | High private-sector R&D |
| China | 2020 | 2.4 | 1,300 | 1,400,000 | 8 | Rapid growth in filings |
| Germany | 2020 | 3.1 | 4,800 | 180,000 | 110+ | Strong engineering base |
| Japan | 2020 | 3.2 | 5,300 | 290,000 | 30+ | Industrial innovation leader |
| United Kingdom | 2020 | 1.7 | 4,500 | 65,000 | 130+ | Strong universities |
| France | 2020 | 2.2 | 4,400 | 75,000 | 70+ | Large public research system |
| South Korea | 2020 | 4.8 | 7,500 | 210,000 | 2 | Very high R&D intensity |
| India | 2020 | 0.7 | 250 | 60,000 | 10+ | Growing STEM workforce |
| Canada | 2020 | 1.6 | 4,900 | 35,000 | 25+ | Strength in medicine |
| Australia | 2020 | 1.8 | 4,600 | 25,000 | 15+ | Strong life sciences |
| Brazil | 2020 | 1.2 | 900 | 25,000 | 0 | Regional research hub |
