# EU Accession Timeline with Membership Start Year (Country-level, sortable)

| Member state | Membership start year | Membership start date | Accession wave label |
|---|---:|---|---|
| Belgium | 1958 | 1958-01-01 | Founding (EEC) |
| Netherlands | 1958 | 1958-01-01 | Founding (EEC) |
| Luxembourg | 1958 | 1958-01-01 | Founding (EEC) |
| France | 1958 | 1958-01-01 | Founding (EEC) |
| Germany | 1958 | 1958-01-01 | Founding (EEC) |
| Italy | 1958 | 1958-01-01 | Founding (EEC) |
| Denmark | 1973 | 1973-01-01 | 1973 enlargement |
| Ireland | 1973 | 1973-01-01 | 1973 enlargement |
| United Kingdom | 1973 | 1973-01-01 | 1973 enlargement |
| Greece | 1981 | 1981-01-01 | 1981 enlargement |
| Spain | 1986 | 1986-01-01 | 1986 enlargement |
| Portugal | 1986 | 1986-01-01 | 1986 enlargement |
| Austria | 1995 | 1995-01-01 | 1995 enlargement |
| Finland | 1995 | 1995-01-01 | 1995 enlargement |
| Sweden | 1995 | 1995-01-01 | 1995 enlargement |
| Poland | 2004 | 2004-05-01 | 2004 enlargement |
| Czech Republic | 2004 | 2004-05-01 | 2004 enlargement |
| Hungary | 2004 | 2004-05-01 | 2004 enlargement |
| Slovakia | 2004 | 2004-05-01 | 2004 enlargement |
| Slovenia | 2004 | 2004-05-01 | 2004 enlargement |
| Estonia | 2004 | 2004-05-01 | 2004 enlargement |
| Latvia | 2004 | 2004-05-01 | 2004 enlargement |
| Lithuania | 2004 | 2004-05-01 | 2004 enlargement |
| Cyprus | 2004 | 2004-05-01 | 2004 enlargement |
| Malta | 2004 | 2004-05-01 | 2004 enlargement |
| Bulgaria | 2007 | 2007-01-01 | 2007 enlargement |
| Romania | 2007 | 2007-01-01 | 2007 enlargement |
| Croatia | 2013 | 2013-07-01 | 2013 enlargement |
