# Selected Broadway Musicals and Their Stage Directors (Original Broadway Productions)

| Musical (Broadway) | Broadway opening year | Theatre (original Broadway venue) | Stage director (individual) | Notes |
|---|---:|---|---|---|
| Hamilton | 2015 | Richard Rodgers Theatre | Thomas Kail | Original Broadway production |
| Wicked | 2003 | Gershwin Theatre | Joe Mantello | Original Broadway production |
| The Book of Mormon | 2011 | Eugene O'Neill Theatre | Casey Nicholaw | Co-directed with Trey Parker |
| The Book of Mormon | 2011 | Eugene O'Neill Theatre | Trey Parker | Co-directed with Casey Nicholaw |
| The Lion King | 1997 | Minskoff Theatre | Julie Taymor | Director and primary visual conceiver |
| Chicago (revival) | 1996 | Richard Rodgers Theatre | Walter Bobbie | Revival production |
| Rent | 1996 | Nederlander Theatre | Michael Greif | Original Broadway production |
| The Producers | 2001 | St. James Theatre | Susan Stroman | Original Broadway production |
| Spring Awakening | 2006 | Eugene O'Neill Theatre | Michael Mayer | Original Broadway production |
| Hadestown | 2019 | Walter Kerr Theatre | Rachel Chavkin | Broadway transfer production |
