# 2010 NHL Stanley Cup Playoffs Summary | Hockey-Reference.com

| Rk | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 16 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Team | Chicago Blackhawks | Philadelphia Flyers | Montreal Canadiens | San Jose Sharks | Pittsburgh Penguins | Boston Bruins | Vancouver Canucks | Detroit Red Wings | Washington Capitals | Phoenix Coyotes | Buffalo Sabres | Colorado Avalanche | Nashville Predators | Ottawa Senators | Los Angeles Kings | New Jersey Devils | League Average |
| GP | 22 | 23 | 19 | 15 | 13 | 13 | 12 | 12 | 7 | 7 | 6 | 6 | 6 | 6 | 6 | 5 | 11.1 |
| W | 16 | 14 | 9 | 8 | 7 | 7 | 6 | 5 | 3 | 3 | 2 | 2 | 2 | 2 | 2 | 1 | 5.6 |
| L | 6 | 9 | 10 | 7 | 6 | 6 | 6 | 7 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 5.6 |
| T | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0 |
| OW | 3 | 3 | 1 | 3 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1.2 |
| OL | 1 | 2 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 2 | 1 | 1 | 1 | 1 | 1.2 |
| W-L% | .727 | .609 | .474 | .533 | .538 | .538 | .500 | .417 | .429 | .429 | .333 | .333 | .333 | .333 | .333 | .200 | .500 |
| G | 78 | 76 | 46 | 41 | 42 | 36 | 43 | 43 | 22 | 18 | 15 | 11 | 15 | 19 | 18 | 9 | 33.3 |
| GA | 62 | 61 | 57 | 41 | 38 | 37 | 41 | 33 | 20 | 26 | 16 | 19 | 17 | 24 | 25 | 15 | 33.3 |
| DIFF | 16 | 15 | -11 | 0 | 4 | -1 | 2 | 10 | 2 | -8 | -1 | -8 | -2 | -5 | -7 | -6 | 0 |
